MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mS,e_mS
3872.958,17.843,0.026,18.016,0.058,18.133,0.051,18.278,0.045,,
3879.091,17.861,0.020,17.966,0.032,18.143,0.029,18.258,0.017,,
3906.023,17.864,0.009,17.999,0.014,18.182,0.010,18.249,0.009,,
6471.887,17.692,0.010,17.769,0.012,18.012,0.018,18.166,0.018,,
6480.911,17.697,0.008,17.765,0.010,18.058,0.014,18.178,0.014,,
6487.922,17.690,0.011,17.767,0.013,18.037,0.019,18.175,0.019,,
6692.261,17.715,0.009,17.789,0.011,18.005,0.016,18.226,0.016,,
6699.203,17.713,0.011,17.773,0.013,18.017,0.020,18.200,0.020,,
6713.166,17.724,0.010,17.766,0.012,17.978,0.018,18.194,0.018,,
6720.155,17.700,0.009,17.749,0.011,18.016,0.017,18.181,0.017,,
6768.985,17.606,0.011,17.701,0.013,17.970,0.019,18.156,0.019,,
6782.936,17.617,0.010,17.697,0.013,17.973,0.019,18.101,0.019,,
6796.935,17.611,0.009,17.699,0.010,17.958,0.015,18.087,0.015,,
6803.973,17.601,0.010,17.724,0.012,17.939,0.018,18.083,0.018,,
6810.897,17.614,0.010,17.688,0.012,17.947,0.018,18.076,0.018,,
6824.901,17.604,0.009,17.672,0.010,17.935,0.016,18.074,0.016,,
6831.900,17.615,0.009,17.671,0.010,17.941,0.015,18.056,0.015,,
6862.926,17.618,0.010,17.626,0.012,17.956,0.018,18.033,0.018,,
7123.985,17.693,0.012,17.646,0.015,17.925,0.022,18.024,0.022,,
7137.961,17.674,0.010,17.673,0.012,17.941,0.018,18.059,0.018,,
7151.976,17.672,0.009,17.667,0.011,17.986,0.017,18.066,0.017,,
7179.916,17.666,0.010,17.694,0.012,17.946,0.018,18.127,0.018,,
7187.886,17.666,0.011,17.700,0.013,17.960,0.019,18.107,0.019,,
7207.887,17.661,0.007,17.708,0.009,17.956,0.013,18.151,0.013,,
7405.253,17.561,0.007,17.595,0.008,17.863,0.012,18.037,0.012,,
7412.276,17.519,0.010,17.617,0.012,17.857,0.018,18.056,0.018,,
7427.240,17.549,0.007,17.578,0.008,17.848,0.013,18.045,0.013,,
7489.982,17.553,0.006,17.591,0.008,17.899,0.011,18.017,0.011,,
7502.982,17.567,0.011,17.616,0.013,17.895,0.020,18.015,0.020,,
7511.033,17.567,0.007,17.611,0.008,17.895,0.012,18.046,0.012,,
7537.945,17.558,0.006,17.591,0.007,17.866,0.011,18.082,0.011,,
7551.893,17.557,0.008,17.593,0.010,17.859,0.014,18.064,0.014,,
7558.908,17.532,0.012,17.602,0.014,17.864,0.021,18.084,0.021,,
