MJD,mA,e_mA,mB,e_mB
3445.888,16.337,0.014,16.985,0.018
3452.928,16.336,0.014,16.984,0.018
3454.932,16.349,0.014,16.977,0.018
3457.926,16.342,0.014,16.981,0.018
3486.871,16.333,0.014,16.964,0.018
3488.871,16.321,0.014,16.970,0.018
3502.883,16.312,0.014,16.978,0.018
3508.889,16.325,0.014,16.965,0.018
3509.884,16.303,0.014,16.989,0.018
3521.963,16.318,0.014,16.961,0.018
3524.925,16.317,0.014,16.969,0.018
3646.219,16.380,0.014,17.060,0.018
3649.211,16.383,0.010,17.067,0.013
3656.213,16.395,0.010,17.047,0.013
3662.209,16.386,0.010,17.051,0.013
3667.211,16.382,0.014,17.074,0.018
3676.162,16.395,0.010,17.025,0.013
3678.223,16.390,0.014,17.032,0.018
3680.137,16.392,0.014,17.026,0.018
3681.145,16.391,0.014,17.044,0.018
3682.160,16.383,0.014,17.047,0.018
3684.170,16.392,0.010,17.052,0.013
3693.115,16.390,0.010,17.042,0.013
3699.088,16.396,0.010,17.051,0.013
3700.180,16.398,0.014,17.006,0.018
3707.090,16.399,0.014,17.007,0.018
3708.076,16.390,0.010,17.048,0.013
3709.199,16.394,0.010,17.030,0.013
3711.199,16.389,0.014,17.050,0.018
3712.121,16.389,0.014,17.044,0.018
3714.090,16.397,0.010,17.048,0.013
3718.055,16.396,0.010,17.037,0.013
3719.115,16.391,0.010,17.039,0.013
3728.129,16.402,0.014,17.037,0.018
3729.004,16.386,0.014,17.056,0.018
3731.044,16.394,0.008,17.031,0.010
3766.109,16.405,0.014,17.030,0.018
3783.031,16.403,0.014,17.014,0.018
3784.039,16.399,0.014,17.018,0.018
3786.957,16.401,0.014,17.025,0.018
3788.949,16.396,0.014,17.027,0.018
3789.922,16.400,0.014,17.024,0.018
3792.910,16.392,0.014,17.015,0.018
3797.945,16.406,0.014,16.987,0.018
3801.906,16.390,0.014,17.009,0.018
3802.895,16.391,0.014,17.002,0.018
3803.918,16.391,0.014,17.018,0.018
3804.891,16.402,0.014,17.004,0.018
3805.883,16.387,0.014,17.009,0.018
3812.895,16.382,0.014,17.019,0.018
