MJD,RmagA,e_RmagA,RmagB,e_RmagB,RmagC,e_RmagC,RmagD,e_RmagD,Band
57278.3919,18.4312,0.0085,18.6370,0.0113,18.8401,0.0081,19.1437,0.0137,R
57283.3921,18.4343,0.0076,18.6699,0.0108,18.8306,0.0077,19.1123,0.0120,R
57287.3403,18.4325,0.0097,18.6883,0.0142,18.7992,0.0115,19.1211,0.0167,R
57317.1819,18.4562,0.0083,18.7919,0.0133,18.7969,0.0089,19.0324,0.0124,R
57329.2909,18.4925,0.0173,18.6342,0.0236,18.8997,0.0249,19.1387,0.0251,R
57338.3423,18.4080,0.0146,18.6575,0.0223,18.8367,0.0213,19.3434,0.0260,R
57345.3257,18.4172,0.0111,18.6357,0.0162,18.8514,0.0145,19.2057,0.0165,R
57426.0488,18.1595,0.0072,18.2990,0.0099,18.5429,0.0087,18.9639,0.0139,R
57432.1096,18.2150,0.0144,18.0907,0.0126,18.6573,0.0271,19.1476,0.0209,R
57446.0443,18.1808,0.0062,18.4279,0.0093,18.5090,0.0065,18.7994,0.0094,R
57641.3990,18.2110,0.0064,18.3906,0.0084,18.5181,0.0059,18.9054,0.0102,R
57645.3806,18.2096,0.0063,18.4666,0.0092,18.4511,0.0058,18.8376,0.0098,R
57656.2744,18.1702,0.0062,18.3709,0.0085,18.4819,0.0057,18.8266,0.0097,R
57661.2535,18.1943,0.0069,18.4145,0.0096,18.4532,0.0066,18.8019,0.0111,R
57757.2081,18.0904,0.0059,18.2515,0.0079,18.3292,0.0055,18.6888,0.0091,R
57774.1283,18.0780,0.0061,18.1708,0.0076,18.3374,0.0056,18.7079,0.0096,R
57784.0903,18.0891,0.0061,18.2209,0.0086,18.3360,0.0064,18.6830,0.0092,R
57821.0349,18.1291,0.0089,18.1148,0.0108,18.3697,0.0100,18.7425,0.0130,R
57829.0557,18.1360,0.0071,18.2123,0.0095,18.3661,0.0075,18.6704,0.0088,R
57836.0451,18.1506,0.0072,18.2197,0.0096,18.4045,0.0080,18.7195,0.0112,R
58347.3320,18.2422,0.0069,18.1164,0.0077,18.4936,0.0069,18.8229,0.0095,R
58352.4110,18.2093,0.0076,18.1040,0.0088,18.4504,0.0082,18.8231,0.0116,R
58379.3404,18.1313,0.0075,18.0146,0.0088,18.3802,0.0085,18.7278,0.0114,R
58424.2851,18.1084,0.0110,17.9238,0.0110,18.3268,0.0101,18.6462,0.0135,R
58483.2072,18.0872,0.0134,17.9221,0.0146,18.3795,0.0156,18.7144,0.0162,R
58488.2085,18.1559,0.0059,17.9538,0.0060,18.3607,0.0055,18.6896,0.0081,R
58497.1754,18.1700,0.0067,17.9385,0.0072,18.3657,0.0068,18.7162,0.0096,R
58512.1582,18.1797,0.0062,17.9341,0.0061,18.3948,0.0058,18.7299,0.0087,R
58518.0325,18.1864,0.0121,17.9253,0.0125,18.3948,0.0147,18.6925,0.0158,R
58535.0830,18.2227,0.0082,18.0460,0.0091,18.4353,0.0094,18.7935,0.0138,R
58547.0239,18.2318,0.0065,18.0817,0.0070,18.4784,0.0062,18.8163,0.0096,R
