MJD,VmagA,e_VmagA,VmagB,e_VmagB,VmagC,e_VmagC,VmagD,e_VmagD,Band
56862.3980,18.8094,0.0092,19.0934,0.0148,19.1139,0.0122,19.5905,0.0175,V
56903.3949,18.8356,0.0095,19.2422,0.0169,19.1938,0.0134,19.5530,0.0183,V
57277.3919,18.7397,0.0084,19.0339,0.0140,19.0398,0.0111,19.3863,0.0145,V
57282.3859,18.7823,0.0082,18.9965,0.0125,19.0605,0.0102,19.3896,0.0140,V
57317.1947,18.8098,0.0110,19.0487,0.0166,19.0879,0.0139,19.4184,0.0206,V
57332.2953,18.7996,0.0094,19.0289,0.0144,19.0969,0.0120,19.4480,0.0161,V
57339.3472,18.7949,0.0077,19.0057,0.0110,19.0958,0.0093,19.4925,0.0142,V
57345.2688,18.7801,0.0117,19.0305,0.0178,19.0356,0.0142,19.4044,0.0208,V
57390.2223,18.4819,0.0064,18.7131,0.0092,18.7725,0.0080,19.2250,0.0122,V
57423.0629,18.4116,0.0096,18.4898,0.0123,18.7300,0.0109,19.2041,0.0187,V
57447.0385,18.4481,0.0076,18.5356,0.0098,18.7665,0.0092,19.1992,0.0148,V
57633.3807,18.5364,0.0130,18.7433,0.0200,18.6999,0.0158,19.2054,0.0214,V
57641.3750,18.5137,0.0071,18.6866,0.0097,18.7124,0.0075,19.1727,0.0124,V
57645.3959,18.4746,0.0076,18.6688,0.0116,18.6825,0.0090,19.1528,0.0128,V
57661.2775,18.4571,0.0081,18.6128,0.0119,18.6664,0.0096,19.1382,0.0159,V
57757.1841,18.3373,0.0067,18.4454,0.0094,18.5276,0.0077,18.9548,0.0122,V
57774.1042,18.3233,0.0076,18.4019,0.0099,18.5155,0.0086,18.8968,0.0130,V
57829.0557,18.3415,0.0089,18.4020,0.0119,18.5638,0.0107,18.8742,0.0135,V
57836.0394,18.3890,0.0094,18.3944,0.0121,18.6071,0.0114,18.9122,0.0151,V
58342.3716,18.6073,0.0095,18.4019,0.0107,18.6443,0.0099,19.0984,0.0125,V
58347.4223,18.6080,0.0117,18.3864,0.0127,18.6538,0.0124,19.0922,0.0152,V
58352.3653,18.5822,0.0094,18.3494,0.0105,18.6396,0.0100,19.1208,0.0126,V
58379.3566,18.5143,0.0096,18.2584,0.0107,18.5056,0.0102,18.9969,0.0140,V
58394.2133,18.4109,0.0081,18.1877,0.0094,18.4198,0.0095,18.8895,0.0114,V
58491.1497,18.4544,0.0078,18.1537,0.0079,18.5665,0.0077,18.9338,0.0117,V
58497.2189,18.4081,0.0066,18.1312,0.0069,18.5979,0.0078,18.9299,0.0095,V
58512.1098,18.4679,0.0069,18.1605,0.0072,18.5911,0.0080,18.9953,0.0111,V
58536.1125,18.4751,0.0102,18.2875,0.0116,18.5916,0.0122,18.9511,0.0166,V
58547.0297,18.5600,0.0088,18.2960,0.0092,18.6611,0.0093,19.0718,0.0136,V
58557.0577,18.5818,0.0076,18.3347,0.0074,18.7324,0.0081,19.0942,0.0122,V
58705.4079,18.6380,0.0078,18.3797,0.0086,18.6974,0.0086,19.1511,0.0116,V
58723.4115,18.6763,0.0079,18.2756,0.0076,18.7032,0.0084,19.1191,0.0106,V
58751.3708,18.7473,0.0116,18.3411,0.0103,18.7738,0.0118,19.2536,0.0144,V
58757.3838,18.7378,0.0091,18.3392,0.0085,18.7955,0.0093,19.2532,0.0147,V
58783.2993,18.7185,0.0083,18.3883,0.0085,18.8486,0.0094,19.2578,0.0125,V
58837.2902,18.6707,0.0081,18.1468,0.0064,18.7975,0.0085,19.2306,0.0128,V
58842.1062,18.7222,0.0084,18.1923,0.0068,18.7681,0.0083,19.1660,0.0109,V
58849.2229,18.7035,0.0081,18.2321,0.0070,18.7869,0.0083,19.1830,0.0117,V
58876.0663,18.7922,0.0162,18.1442,0.0160,18.7877,0.0174,19.3473,0.0199,V
58893.1192,18.6123,0.0081,18.0677,0.0067,18.7648,0.0095,19.2375,0.0131,V
58903.1132,18.6242,0.0073,18.1100,0.0062,18.8038,0.0083,19.1797,0.0111,V
58920.0258,18.6744,0.0083,18.0950,0.0063,18.7770,0.0086,19.2140,0.0122,V
59204.2660,18.5876,0.0070,17.9965,0.0058,18.7795,0.0083,19.1474,0.0108,V
59220.1362,18.6264,0.0076,18.0647,0.0061,18.7341,0.0079,19.1038,0.0116,V
59227.2239,18.6525,0.0089,18.0602,0.0071,18.6907,0.0088,19.0885,0.0117,V
59231.1826,18.6725,0.0075,18.0353,0.0059,18.7503,0.0084,19.1673,0.0111,V
59234.1235,18.6957,0.0089,18.0497,0.0064,18.7831,0.0093,19.1700,0.0139,V
59255.0820,18.7359,0.0081,18.0152,0.0062,18.6954,0.0080,19.2205,0.0120,V
59263.0981,18.6346,0.0078,18.1175,0.0081,18.7652,0.0097,19.1191,0.0125,V
59285.0278,18.6783,0.0095,18.0848,0.0078,18.6915,0.0098,19.0446,0.0134,V
59297.0262,18.6831,0.0112,18.0914,0.0087,18.7303,0.0120,19.1058,0.0178,V
59462.3767,18.8194,0.0112,18.2543,0.0087,18.8592,0.0108,19.3335,0.0153,V
59496.3081,18.8971,0.0132,18.4304,0.0117,18.8446,0.0133,19.1758,0.0154,V
59544.2483,18.7237,0.0101,18.1646,0.0083,18.7102,0.0108,19.1494,0.0139,V
59551.2206,18.7622,0.0092,18.0327,0.0066,18.6969,0.0084,19.1615,0.0116,V
59558.1548,18.7646,0.0095,18.0246,0.0070,18.6528,0.0092,19.1241,0.0130,V
59633.0853,18.6683,0.0074,18.0096,0.0056,18.7950,0.0082,19.1654,0.0106,V
59635.1062,18.6849,0.0086,17.9657,0.0060,18.7828,0.0091,19.2128,0.0120,V
59642.0675,18.7137,0.0115,17.9257,0.0076,18.6304,0.0114,19.1835,0.0169,V
59670.0125,18.6115,0.0098,17.8677,0.0067,18.5988,0.0094,19.0085,0.0145,V
59795.4130,18.6671,0.0096,17.9646,0.0067,18.5900,0.0079,19.0157,0.0114,V
59815.4020,18.7020,0.0090,17.9627,0.0064,18.5969,0.0077,19.0249,0.0121,V
59848.3581,18.7259,0.0097,18.1379,0.0072,18.7059,0.0085,19.1122,0.0127,V
59901.1139,18.9184,0.0105,18.3056,0.0087,18.7777,0.0095,19.1553,0.0140,V
59910.3176,18.9083,0.0123,18.3312,0.0104,18.8195,0.0130,19.2646,0.0133,V
59928.2356,18.9087,0.0112,18.3927,0.0088,18.8485,0.0102,19.2597,0.0152,V
59936.1887,18.9362,0.0108,18.3030,0.0077,18.9050,0.0094,19.3941,0.0162,V
59986.0854,19.1489,0.0177,18.5195,0.0139,19.0712,0.0156,19.6594,0.0242,V
59996.1185,19.0199,0.0120,18.5755,0.0098,19.0595,0.0120,19.5704,0.0178,V
60022.0054,18.9008,0.0103,18.4256,0.0091,18.9433,0.0115,19.3329,0.0140,V
60032.0122,18.8586,0.0092,18.3849,0.0076,19.0411,0.0107,19.3797,0.0140,V
60044.9880,18.8722,0.0098,18.4123,0.0085,19.0514,0.0115,19.3658,0.0146,V
60236.1725,19.0859,0.0184,18.4596,0.0137,19.0937,0.0181,19.7209,0.0250,V
60237.2098,19.0712,0.0240,18.6405,0.0234,18.9108,0.0220,19.3216,0.0344,V
60270.0990,19.1472,0.0148,18.4052,0.0097,19.0124,0.0127,19.6136,0.0207,V
60284.2181,18.9737,0.0114,18.4963,0.0085,19.1021,0.0120,19.5003,0.0168,V
60295.2153,19.2626,0.0171,18.5160,0.0113,18.8899,0.0123,19.4168,0.0181,V
60315.1015,19.0981,0.0133,18.3495,0.0084,18.9617,0.0111,19.6083,0.0205,V
60319.1991,19.0394,0.0144,18.4867,0.0106,18.9255,0.0106,19.4066,0.0186,V
60326.1561,19.0719,0.0124,18.4420,0.0092,18.8994,0.0095,19.3756,0.0162,V
