HJD,A,e_A,B,e_B,Filt
2453551.551,0.02,0.02,1.32,0.06,I
2453563.475,0.03,0.02,1.29,0.02,I
2453724.787,-0.02,0.01,1.20,0.02,I
2453747.735,-0.06,0.01,1.18,0.02,I
2453760.765,-0.06,0.02,1.17,0.02,I
2453770.778,-0.06,0.02,1.15,0.02,I
2453776.650,-0.06,0.01,1.12,0.02,I
2453784.720,-0.05,0.01,1.14,0.02,I
2453790.721,-0.06,0.02,1.14,0.02,I
2453806.692,-0.06,0.01,1.09,0.02,I
2453819.601,-0.09,0.02,1.10,0.02,I
2453833.614,-0.10,0.01,1.08,0.02,I
2453847.556,-0.12,0.01,1.08,0.01,I
2453863.480,-0.16,0.01,1.04,0.02,I
2453870.497,-0.13,0.01,1.06,0.01,I
2453891.513,-0.17,0.01,1.03,0.02,I
2453898.515,-0.17,0.02,1.04,0.02,I
2453904.459,-0.17,0.02,1.04,0.02,I
2454130.802,-0.33,0.01,1.19,0.02,I
2454169.749,-0.24,0.01,1.21,0.02,I
2454197.697,-0.19,0.01,1.24,0.02,I
2454217.640,-0.13,0.01,1.18,0.02,I
2454230.552,-0.12,0.01,1.22,0.02,I
2454246.517,-0.14,0.01,1.17,0.02,I
2454247.535,-0.11,0.01,1.18,0.02,I
2454433.816,-0.15,0.01,1.18,0.02,I
2454441.805,-0.18,0.01,1.14,0.02,I
2454455.810,-0.16,0.01,1.13,0.02,I
2454471.830,-0.17,0.01,1.10,0.02,I
2454486.816,-0.19,0.01,1.09,0.02,I
2454493.828,-0.15,0.01,1.08,0.02,I
2454538.638,-0.19,0.02,1.09,0.02,I
2454566.660,-0.15,0.02,1.08,0.03,I
2454571.649,-0.17,0.01,1.04,0.02,I
2454579.648,-0.14,0.01,1.11,0.02,I
2454607.557,-0.17,0.01,1.14,0.02,I
2454628.524,-0.18,0.01,1.14,0.02,I
2454639.540,-0.19,0.01,1.16,0.02,I
2454653.531,-0.21,0.01,1.14,0.02,I
2454682.483,-0.23,0.01,1.13,0.02,I
2454783.837,-0.19,0.01,1.15,0.02,I
2454798.816,-0.15,0.01,1.17,0.02,I
2454814.850,-0.15,0.01,1.14,0.02,I
2454828.790,-0.15,0.01,1.14,0.02,I
2454849.760,-0.16,0.01,1.16,0.02,I
2454853.772,-0.17,0.02,1.12,0.02,I
2454877.669,-0.16,0.01,1.02,0.02,I
2454883.738,-0.12,0.01,1.15,0.02,I
2454915.711,-0.13,0.02,1.13,0.02,I
2454942.595,-0.15,0.02,1.07,0.02,I
2454955.570,-0.14,0.02,1.10,0.03,I
2454964.564,-0.19,0.02,1.06,0.02,I
2454994.537,-0.18,0.02,1.04,0.02,I
2455188.779,-0.29,0.01,0.90,0.02,I
2455202.824,-0.35,0.01,0.84,0.02,I
2455235.796,-0.36,0.01,0.87,0.02,I
2455258.741,-0.39,0.01,0.89,0.01,I
2455271.683,-0.45,0.02,0.90,0.02,I
2455281.771,-0.46,0.01,0.90,0.02,I
2455300.585,-0.48,0.01,0.92,0.01,I
2455307.546,-0.47,0.01,0.95,0.02,I
2455314.513,-0.51,0.01,0.91,0.01,I
2455335.549,-0.48,0.01,0.93,0.02,I
2455341.525,-0.49,0.01,0.93,0.02,I
2455388.456,-0.47,0.01,0.96,0.02,I
2455599.782,-0.30,0.02,0.79,0.03,I
2455624.734,-0.34,0.02,0.82,0.02,I
2455656.614,-0.38,0.02,0.81,0.02,I
2455672.556,-0.37,0.02,0.78,0.02,I
2455687.560,-0.36,0.01,0.79,0.02,I
2455701.493,-0.38,0.02,0.79,0.02,I
