HJD,A,e_A,B,e_B,Filt
2452976.806,0.11,0.01,1.67,0.03,J
2452985.815,0.13,0.01,1.56,0.03,J
2452993.822,0.11,0.01,1.53,0.02,J
2453000.816,0.10,0.01,1.63,0.02,J
2453009.812,0.06,0.01,1.61,0.02,J
2453030.775,0.11,0.01,1.53,0.02,J
2453044.752,0.13,0.01,1.57,0.02,J
2453060.667,0.12,0.01,1.61,0.02,J
2453068.654,0.12,0.01,1.55,0.02,J
2453072.714,0.13,0.01,1.68,0.03,J
2453078.627,0.09,0.01,1.51,0.02,J
2453105.529,0.07,0.01,1.71,0.04,J
2453129.583,0.14,0.01,1.57,0.02,J
2453145.530,0.08,0.01,1.49,0.03,J
2453159.494,0.13,0.01,1.53,0.02,J
2453165.454,0.16,0.01,1.48,0.04,J
2453335.849,0.11,0.01,1.54,0.03,J
2453397.666,0.16,0.02,1.67,0.05,J
2453406.804,0.11,0.01,1.34,0.02,J
2453424.707,0.10,0.01,1.43,0.02,J
2453439.735,0.14,0.01,1.35,0.02,J
2453447.616,0.12,0.01,1.43,0.02,J
2453465.602,0.08,0.01,1.43,0.02,J
2453475.599,0.04,0.01,1.38,0.01,J
2453492.565,0.07,0.01,1.39,0.02,J
2453525.508,0.04,0.01,1.30,0.02,J
2453708.801,-0.04,0.01,1.35,0.02,J
2453715.827,-0.03,0.01,1.28,0.02,J
2453722.766,0.03,0.01,1.42,0.03,J
2453725.813,-0.03,0.01,1.34,0.02,J
2453747.733,-0.03,0.01,1.27,0.02,J
2453748.742,-0.01,0.01,1.39,0.02,J
2453770.750,-0.02,0.01,1.32,0.02,J
2453776.634,-0.04,0.01,1.24,0.01,J
2453784.704,-0.01,0.01,1.37,0.01,J
2453797.651,-0.02,0.01,1.29,0.02,J
2453804.663,-0.01,0.01,1.22,0.01,J
2453806.677,0.02,0.01,1.36,0.02,J
2453809.657,-0.07,0.01,1.20,0.02,J
2453819.586,-0.06,0.01,1.29,0.02,J
2453821.605,-0.07,0.01,1.32,0.02,J
2453826.569,-0.05,0.01,1.37,0.03,J
2453833.599,-0.04,0.01,1.27,0.02,J
2453846.572,-0.08,0.01,1.35,0.02,J
2453863.464,-0.06,0.01,1.22,0.02,J
2453870.483,-0.09,0.01,1.25,0.02,J
2453883.448,-0.10,0.01,1.27,0.02,J
2453904.444,-0.10,0.01,1.13,0.02,J
2453915.482,-0.08,0.01,1.21,0.02,J
2453944.468,-0.03,0.02,0.98,0.04,J
2454065.830,-0.29,0.01,1.31,0.02,J
2454073.813,-0.23,0.01,1.41,0.03,J
2454088.773,-0.27,0.01,1.28,0.02,J
2454095.794,-0.24,0.01,1.38,0.03,J
2454108.794,-0.31,0.01,1.13,0.02,J
2454115.801,-0.11,0.01,1.28,0.03,J
2454122.785,-0.25,0.01,1.26,0.02,J
2454130.786,-0.23,0.01,1.29,0.02,J
2454136.816,-0.29,0.01,1.24,0.02,J
2454155.809,-0.24,0.01,1.09,0.02,J
2454162.747,-0.24,0.01,1.17,0.02,J
2454169.734,-0.18,0.01,1.30,0.02,J
