HJD,A,e_A,B,e_B,Filt
2452976.807,-0.01,0.01,1.38,0.02,R
2452985.818,-0.02,0.01,1.39,0.01,R
2452993.826,-0.03,0.02,1.40,0.02,R
2453000.820,-0.05,0.02,1.40,0.02,R
2453009.815,-0.09,0.01,1.41,0.02,R
2453018.776,-0.10,0.01,1.42,0.02,R
2453023.757,-0.06,0.02,1.41,0.02,R
2453030.779,-0.03,0.02,1.41,0.02,R
2453060.669,-0.04,0.02,1.41,0.02,R
2453068.657,-0.05,0.01,1.40,0.02,R
2453078.631,-0.06,0.02,1.39,0.02,R
2453090.616,-0.07,0.02,1.38,0.02,R
2453105.532,-0.08,0.01,1.35,0.02,R
2453111.521,-0.09,0.01,1.38,0.02,R
2453121.535,-0.06,0.01,1.39,0.01,R
2453123.496,-0.07,0.01,1.35,0.01,R
2453137.524,-0.04,0.01,1.36,0.01,R
2453145.533,-0.06,0.01,1.37,0.01,R
2453152.459,-0.02,0.01,1.36,0.02,R
2453159.497,0.02,0.01,1.37,0.02,R
2453165.457,0.05,0.01,1.37,0.02,R
2453182.530,0.03,0.01,1.35,0.01,R
2453188.465,0.01,0.01,1.35,0.01,R
2453196.493,0.02,0.01,1.37,0.01,R
2453197.519,0.03,0.01,1.38,0.02,R
2453206.470,0.05,0.01,1.37,0.02,R
2453327.845,0.04,0.01,1.30,0.01,R
2453346.774,0.05,0.01,1.25,0.02,R
2453354.773,0.02,0.01,1.28,0.01,R
2453361.738,0.03,0.01,1.26,0.01,R
2453370.780,0.02,0.01,1.26,0.02,R
2453377.744,0.04,0.01,1.27,0.02,R
2453384.692,0.05,0.01,1.27,0.02,R
2453406.808,0.02,0.01,1.23,0.02,R
2453413.767,0.01,0.02,1.19,0.02,R
2453431.773,0.01,0.01,1.17,0.02,R
2453439.739,0.01,0.01,1.15,0.02,R
2453447.619,-0.01,0.01,1.16,0.01,R
2453458.640,-0.03,0.01,1.15,0.02,R
2453465.604,-0.04,0.01,1.14,0.01,R
2453472.557,-0.04,0.01,1.16,0.01,R
2453475.602,-0.03,0.01,1.16,0.02,R
2453492.567,-0.02,0.02,1.18,0.02,R
2453504.532,-0.02,0.01,1.16,0.01,R
2453517.570,-0.05,0.01,1.17,0.01,R
2453525.511,-0.07,0.01,1.16,0.02,R
2453551.538,-0.07,0.02,1.15,0.04,R
