MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
3975.855,16.510,0.010,17.639,0.013,17.998,0.019,17.918,0.015,17.688,0.013
4004.712,16.520,0.010,17.666,0.014,18.010,0.020,17.920,0.016,17.673,0.014
4043.668,16.498,0.016,17.627,0.022,18.016,0.032,17.881,0.025,17.680,0.022
4359.809,16.398,0.010,17.624,0.014,17.979,0.020,17.650,0.014,17.694,0.014
4362.832,16.381,0.008,17.614,0.012,17.974,0.016,17.639,0.012,17.675,0.011
4364.804,16.403,0.008,17.631,0.012,18.005,0.017,17.617,0.012,17.693,0.012
4365.842,16.398,0.011,17.624,0.015,18.006,0.022,17.642,0.016,17.689,0.015
4727.828,16.467,0.024,17.787,0.037,18.389,0.058,17.512,0.033,17.711,0.033
4728.808,16.445,0.019,17.713,0.029,18.343,0.045,17.483,0.026,17.684,0.026
4729.844,16.433,0.024,17.737,0.036,18.308,0.056,17.490,0.032,17.697,0.033
4731.751,16.473,0.014,17.772,0.021,18.358,0.033,17.502,0.019,17.703,0.019
4740.786,16.445,0.014,17.755,0.021,18.349,0.033,17.508,0.019,17.665,0.019
4747.764,16.465,0.015,17.747,0.022,18.367,0.035,17.508,0.020,17.717,0.020
4760.746,16.444,0.006,17.721,0.008,18.391,0.013,17.446,0.007,17.686,0.008
4764.676,16.451,0.006,17.777,0.009,18.364,0.014,17.498,0.008,17.718,0.008
4790.587,16.447,0.006,17.759,0.009,18.377,0.014,17.501,0.008,17.709,0.008
4797.618,16.427,0.007,17.770,0.011,18.350,0.017,17.509,0.010,17.677,0.010
4801.608,16.415,0.007,17.764,0.010,18.376,0.016,17.511,0.009,17.679,0.009
5000.920,16.363,0.008,17.787,0.012,18.393,0.019,17.460,0.010,17.663,0.011
5012.919,16.419,0.007,17.800,0.010,18.542,0.018,17.425,0.009,17.701,0.009
5097.764,16.462,0.008,17.780,0.012,18.487,0.019,17.402,0.010,17.688,0.010
5098.757,16.471,0.008,17.790,0.012,18.523,0.021,17.418,0.010,17.706,0.011
5101.734,16.474,0.009,17.797,0.014,18.526,0.024,17.410,0.012,17.692,0.013
5102.750,16.468,0.012,17.762,0.018,18.480,0.029,17.403,0.015,17.682,0.016
5107.733,16.494,0.026,17.780,0.039,18.450,0.063,17.386,0.033,17.697,0.035
5108.775,16.500,0.020,17.784,0.030,18.544,0.051,17.394,0.025,17.690,0.027
5109.702,16.485,0.016,17.799,0.024,18.489,0.040,17.433,0.021,17.688,0.022
5113.723,16.514,0.010,17.786,0.015,18.510,0.026,17.389,0.013,17.683,0.014
5114.728,16.514,0.009,17.795,0.014,18.494,0.023,17.413,0.012,17.701,0.012
5116.714,16.558,0.010,17.796,0.015,18.503,0.025,17.443,0.013,17.738,0.013
5118.677,16.519,0.009,17.795,0.014,18.506,0.023,17.420,0.012,17.692,0.012
5121.756,16.503,0.008,17.784,0.011,18.494,0.019,17.406,0.009,17.699,0.010
5122.687,16.515,0.009,17.784,0.013,18.493,0.021,17.383,0.011,17.689,0.011
5126.709,16.534,0.008,17.786,0.012,18.532,0.020,17.414,0.010,17.705,0.011
5128.704,16.526,0.008,17.801,0.012,18.501,0.019,17.406,0.010,17.692,0.010
5145.644,16.564,0.009,17.796,0.013,18.507,0.021,17.439,0.011,17.698,0.011
5148.705,16.538,0.008,17.790,0.012,18.512,0.019,17.401,0.010,17.699,0.010
5153.579,16.564,0.007,17.820,0.011,18.492,0.017,17.417,0.009,17.700,0.009
5154.651,16.549,0.009,17.818,0.014,18.471,0.022,17.434,0.012,17.684,0.012
5171.577,16.609,0.008,17.816,0.012,18.531,0.019,17.442,0.010,17.712,0.010
5380.971,16.659,0.023,17.849,0.033,18.530,0.054,17.487,0.028,17.709,0.028
5383.914,16.645,0.009,17.827,0.013,18.527,0.022,17.478,0.011,17.670,0.011
5385.921,16.684,0.008,17.864,0.012,18.562,0.020,17.530,0.010,17.698,0.010
5386.903,16.651,0.008,17.833,0.012,18.566,0.020,17.514,0.010,17.701,0.010
5388.879,16.659,0.010,17.858,0.014,18.536,0.023,17.510,0.012,17.683,0.012
5392.893,16.688,0.010,17.878,0.014,18.578,0.023,17.522,0.012,17.700,0.012
5393.908,16.687,0.011,17.866,0.015,18.558,0.025,17.530,0.013,17.701,0.013
5396.879,16.686,0.009,17.860,0.012,18.559,0.020,17.529,0.011,17.709,0.011
5398.872,16.679,0.009,17.855,0.013,18.530,0.021,17.553,0.011,17.694,0.011
5400.854,16.692,0.011,17.875,0.015,18.610,0.026,17.553,0.013,17.702,0.013
5423.875,16.682,0.007,17.865,0.011,18.535,0.017,17.540,0.009,17.698,0.009
5426.774,16.683,0.010,17.870,0.014,18.555,0.022,17.531,0.012,17.710,0.012
5442.829,16.681,0.009,17.859,0.013,18.549,0.022,17.569,0.012,17.689,0.012
5445.836,16.681,0.011,17.852,0.015,18.526,0.024,17.568,0.013,17.707,0.013
5452.827,16.696,0.009,17.857,0.013,18.528,0.021,17.573,0.012,17.690,0.011
5456.787,16.710,0.011,17.864,0.016,18.558,0.026,17.575,0.014,17.697,0.013
5467.784,16.713,0.011,17.892,0.016,18.574,0.026,17.598,0.014,17.687,0.013
5470.801,16.704,0.010,17.884,0.014,18.553,0.023,17.582,0.012,17.697,0.012
5472.785,16.721,0.010,17.897,0.015,18.600,0.024,17.597,0.013,17.704,0.013
5474.769,16.730,0.011,17.878,0.016,18.565,0.026,17.581,0.014,17.731,0.014
5483.722,16.695,0.012,17.875,0.018,18.544,0.029,17.620,0.016,17.702,0.015
5484.710,16.717,0.012,17.884,0.017,18.594,0.028,17.613,0.015,17.701,0.015
5486.771,16.738,0.022,17.908,0.031,18.560,0.051,17.611,0.028,17.712,0.026
5492.741,16.733,0.013,17.898,0.018,18.610,0.030,17.609,0.016,17.705,0.015
5496.663,16.745,0.012,17.917,0.017,18.599,0.027,17.652,0.015,17.695,0.014
5500.703,16.702,0.013,17.915,0.019,18.608,0.030,17.676,0.017,17.681,0.016
5527.609,16.753,0.008,17.929,0.012,18.616,0.020,17.672,0.011,17.694,0.010
5532.610,16.758,0.018,17.895,0.026,18.685,0.044,17.660,0.023,17.701,0.022
5742.933,16.734,0.017,17.920,0.024,18.455,0.037,17.775,0.023,17.659,0.020
5754.943,16.784,0.013,17.930,0.019,18.535,0.029,17.842,0.018,17.688,0.016
5756.951,16.804,0.023,17.960,0.033,18.607,0.053,17.843,0.031,17.739,0.027
5762.945,16.799,0.021,17.936,0.029,18.535,0.046,17.848,0.028,17.696,0.024
5763.924,16.794,0.017,17.940,0.024,18.529,0.038,17.841,0.023,17.696,0.020
5764.905,16.792,0.028,17.918,0.039,18.576,0.063,17.856,0.038,17.679,0.033
5766.878,16.797,0.015,17.953,0.022,18.569,0.034,17.877,0.021,17.693,0.018
6127.873,16.852,0.008,17.965,0.011,18.150,0.014,17.943,0.011,17.749,0.009
6129.913,16.832,0.009,17.967,0.013,18.122,0.016,17.933,0.013,17.719,0.011
6136.905,16.845,0.006,17.976,0.008,18.112,0.010,17.915,0.008,17.732,0.007
6144.812,16.833,0.021,17.920,0.029,18.047,0.037,17.854,0.028,17.715,0.024
6145.838,16.839,0.016,17.933,0.021,18.027,0.027,17.889,0.021,17.708,0.018
6146.843,16.832,0.012,17.957,0.016,18.031,0.020,17.895,0.016,17.707,0.013
6147.837,16.844,0.013,17.960,0.019,18.059,0.023,17.902,0.018,17.724,0.015
6148.843,16.855,0.013,17.980,0.019,18.068,0.023,17.931,0.018,17.734,0.015
6149.836,16.844,0.013,17.975,0.019,18.040,0.023,17.893,0.018,17.717,0.015
6152.900,16.850,0.012,17.952,0.017,18.030,0.021,17.916,0.016,17.721,0.014
6154.856,16.853,0.013,17.980,0.018,18.030,0.022,17.898,0.017,17.718,0.015
6156.815,16.855,0.013,17.971,0.018,18.014,0.022,17.954,0.018,17.743,0.015
6166.788,16.846,0.016,17.965,0.022,17.938,0.026,17.873,0.021,17.720,0.018
