MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
3971.835,16.780,0.010,17.954,0.009,18.342,0.018,18.310,0.018,18.276,0.014
3975.869,16.783,0.009,17.963,0.008,18.380,0.017,18.316,0.016,18.275,0.013
4004.734,16.788,0.011,17.962,0.010,18.395,0.020,18.308,0.020,18.249,0.015
4359.793,16.625,0.011,17.922,0.011,18.278,0.021,17.985,0.019,18.276,0.017
4360.822,16.623,0.011,17.914,0.011,18.303,0.021,17.977,0.018,18.265,0.016
4362.816,16.620,0.011,17.912,0.011,18.293,0.021,17.966,0.018,18.255,0.017
4365.812,16.616,0.014,17.915,0.014,18.314,0.028,17.980,0.024,18.264,0.022
4727.819,16.686,0.034,18.075,0.036,18.852,0.083,17.789,0.051,18.287,0.051
4728.791,16.689,0.028,18.099,0.030,18.881,0.070,17.714,0.041,18.291,0.042
4731.732,16.678,0.018,18.113,0.019,18.840,0.043,17.763,0.026,18.313,0.026
4740.774,16.669,0.013,18.087,0.014,18.833,0.032,17.754,0.019,18.273,0.020
4747.752,16.678,0.022,18.057,0.023,18.819,0.053,17.747,0.033,18.328,0.033
4756.683,16.686,0.062,18.095,0.065,18.907,0.155,17.688,0.089,18.277,0.092
4760.730,16.652,0.008,18.053,0.008,18.875,0.020,17.709,0.012,18.271,0.012
4761.704,16.662,0.007,18.082,0.007,18.926,0.018,17.709,0.010,18.282,0.010
4764.735,16.673,0.008,18.093,0.008,18.876,0.020,17.736,0.012,18.308,0.012
4790.613,16.684,0.007,18.081,0.007,18.809,0.016,17.756,0.010,18.314,0.010
4797.590,16.659,0.007,18.096,0.007,18.833,0.017,17.767,0.011,18.293,0.011
4801.634,16.672,0.008,18.042,0.008,18.860,0.020,17.769,0.012,18.322,0.012
5000.945,16.596,0.008,18.072,0.009,18.881,0.021,17.656,0.012,18.268,0.013
5012.946,16.585,0.008,18.075,0.009,18.968,0.022,17.599,0.012,18.261,0.013
5097.751,16.683,0.009,18.125,0.010,19.037,0.024,17.625,0.013,18.273,0.014
5098.766,16.689,0.011,18.113,0.012,18.988,0.029,17.619,0.016,18.277,0.017
5101.725,16.685,0.014,18.098,0.015,18.973,0.037,17.602,0.020,18.242,0.022
5102.742,16.695,0.016,18.131,0.017,18.986,0.042,17.612,0.022,18.270,0.024
5108.766,16.759,0.036,18.102,0.037,19.035,0.093,17.608,0.048,18.292,0.052
5109.710,16.722,0.028,18.099,0.029,18.971,0.071,17.621,0.039,18.248,0.041
5113.730,16.774,0.015,18.103,0.015,18.987,0.036,17.613,0.019,18.266,0.021
5114.735,16.761,0.011,18.153,0.012,19.038,0.029,17.621,0.015,18.265,0.016
5116.721,16.818,0.012,18.117,0.012,18.909,0.028,17.667,0.016,18.345,0.017
5118.686,16.758,0.009,18.123,0.010,19.028,0.024,17.613,0.013,18.252,0.013
5121.769,16.759,0.008,18.096,0.008,19.065,0.022,17.618,0.011,18.272,0.012
5122.697,16.765,0.009,18.117,0.010,19.023,0.024,17.602,0.012,18.274,0.013
5126.726,16.780,0.009,18.108,0.009,19.052,0.023,17.602,0.012,18.282,0.013
5128.718,16.776,0.008,18.107,0.009,19.020,0.021,17.609,0.011,18.275,0.012
