MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
3905.122,16.872,0.009,18.100,0.014,18.462,0.032,18.482,0.019,18.706,0.012
3912.128,16.848,0.005,18.066,0.009,18.473,0.020,18.476,0.012,18.704,0.007
3920.094,16.852,0.005,18.071,0.008,18.445,0.019,18.495,0.011,18.712,0.007
3934.110,16.845,0.008,18.055,0.012,18.477,0.029,18.439,0.017,18.691,0.011
3942.092,16.897,0.006,18.125,0.010,18.540,0.022,18.548,0.013,18.719,0.008
3993.951,16.927,0.008,18.136,0.014,18.592,0.032,18.522,0.018,18.740,0.011
3998.095,16.942,0.009,18.128,0.014,18.647,0.033,18.471,0.018,18.740,0.011
4021.868,16.928,0.009,18.125,0.014,18.618,0.033,18.489,0.018,18.721,0.011
4028.898,16.930,0.010,18.129,0.015,18.638,0.037,18.486,0.020,18.718,0.012
4048.876,16.873,0.008,18.055,0.013,18.572,0.032,18.466,0.018,18.747,0.011
4049.838,16.863,0.008,18.069,0.013,18.555,0.031,18.443,0.018,18.730,0.011
4056.841,16.851,0.015,18.043,0.023,18.564,0.056,18.424,0.032,18.736,0.020
4061.837,16.857,0.009,18.054,0.014,18.539,0.035,18.421,0.020,18.747,0.012
4083.840,16.858,0.013,17.925,0.020,18.543,0.050,18.363,0.027,18.744,0.017
5047.206,16.724,0.007,18.225,0.013,19.201,0.040,17.735,0.012,18.713,0.010
5055.941,16.723,0.013,18.240,0.024,19.105,0.067,17.684,0.021,18.672,0.018
5056.931,16.752,0.009,18.253,0.017,19.096,0.049,17.677,0.015,18.667,0.013
5057.937,16.742,0.009,18.233,0.016,19.129,0.047,17.653,0.014,18.686,0.013
5058.930,16.726,0.010,18.210,0.018,19.086,0.051,17.686,0.016,18.680,0.014
5060.000,16.718,0.009,18.229,0.016,19.156,0.046,17.718,0.014,18.698,0.012
5061.970,16.705,0.009,18.227,0.016,19.111,0.045,17.710,0.014,18.683,0.012
5062.913,16.717,0.013,18.239,0.025,19.100,0.070,17.667,0.022,18.690,0.019
5063.948,16.707,0.010,18.226,0.018,19.152,0.054,17.703,0.016,18.668,0.014
5065.010,16.706,0.009,18.210,0.016,19.119,0.046,17.714,0.014,18.690,0.012
5065.944,16.700,0.009,18.221,0.016,19.122,0.047,17.709,0.015,18.673,0.013
5066.916,16.699,0.011,18.302,0.021,19.098,0.057,17.703,0.018,18.679,0.016
5068.999,16.711,0.009,18.227,0.016,19.171,0.047,17.682,0.014,18.692,0.013
5070.024,16.691,0.008,18.251,0.016,19.143,0.046,17.750,0.014,18.702,0.012
5071.900,16.732,0.014,18.241,0.025,19.079,0.070,17.689,0.022,18.671,0.019
5072.901,16.744,0.023,18.215,0.042,19.174,0.125,17.659,0.037,18.671,0.033
