MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
3902.172,16.607,0.019,17.760,0.040,18.216,0.059,18.256,0.051,17.808,0.016
3905.134,16.601,0.009,17.741,0.018,18.147,0.027,18.197,0.023,17.794,0.007
3912.140,16.563,0.006,17.735,0.013,18.181,0.019,18.204,0.016,17.780,0.005
3920.106,16.581,0.005,17.743,0.011,18.158,0.016,18.204,0.013,17.792,0.004
3928.160,16.615,0.022,17.776,0.048,18.258,0.072,18.088,0.055,17.836,0.019
3934.122,16.553,0.007,17.743,0.015,18.159,0.022,18.142,0.018,17.787,0.006
3942.105,16.604,0.006,17.796,0.014,18.229,0.020,18.229,0.017,17.799,0.005
3993.956,16.614,0.009,17.790,0.019,18.305,0.028,18.185,0.022,17.783,0.007
3998.100,16.619,0.009,17.805,0.019,18.298,0.029,18.188,0.023,17.798,0.007
4021.874,16.644,0.010,17.806,0.021,18.316,0.032,18.212,0.025,17.842,0.008
4028.903,16.661,0.013,17.824,0.029,18.329,0.044,18.177,0.035,17.897,0.011
4049.843,16.609,0.009,17.780,0.019,18.266,0.029,18.163,0.023,17.859,0.007
4056.845,16.602,0.009,17.766,0.020,18.280,0.031,18.178,0.025,17.859,0.008
4061.842,16.601,0.010,17.740,0.021,18.370,0.034,18.144,0.026,17.849,0.008
4083.844,16.556,0.011,17.750,0.025,18.223,0.038,18.188,0.031,17.821,0.010
4289.017,16.479,0.010,17.730,0.023,17.966,0.031,17.983,0.026,17.847,0.009
4293.007,16.495,0.012,17.827,0.028,18.168,0.040,17.923,0.030,17.868,0.011
4684.020,16.552,0.011,17.873,0.025,18.553,0.041,17.648,0.023,17.776,0.009
4686.186,16.526,0.014,17.938,0.034,18.615,0.056,17.674,0.031,17.799,0.012
4687.123,16.552,0.024,17.867,0.056,18.588,0.094,17.640,0.051,17.802,0.021
4688.031,16.566,0.012,17.918,0.028,18.678,0.047,17.666,0.025,17.811,0.010
4689.955,16.579,0.016,17.877,0.038,18.595,0.063,17.593,0.033,17.805,0.014
4690.952,16.567,0.014,17.924,0.032,18.626,0.053,17.682,0.029,17.800,0.012
4693.004,16.546,0.016,17.926,0.038,18.674,0.064,17.679,0.034,17.792,0.014
4694.019,16.539,0.025,17.968,0.062,18.609,0.099,17.715,0.055,17.828,0.022
4701.931,16.543,0.013,17.895,0.031,18.626,0.053,17.649,0.028,17.788,0.012
4703.037,16.564,0.012,17.938,0.029,18.705,0.049,17.577,0.024,17.810,0.010
4704.937,16.509,0.009,17.965,0.024,18.633,0.038,17.684,0.021,17.792,0.008
4705.981,16.523,0.009,17.890,0.021,18.646,0.036,17.624,0.019,17.781,0.008
4706.960,16.537,0.009,17.889,0.021,18.622,0.034,17.651,0.018,17.789,0.008
4707.913,16.545,0.011,17.913,0.025,18.614,0.042,17.616,0.022,17.787,0.009
4708.910,16.539,0.010,17.885,0.024,18.622,0.041,17.603,0.021,17.784,0.009
