Obs.Date,magA,e_magA,magB,e_magB,magC,e_magC,magD,e_magD,Band
1995-09-17,16.990,0.030,17.210,0.040,17.830,0.080,18.230,0.090,I
1997-08-29,16.960,0.030,17.600,0.040,17.810,0.040,18.150,0.070,I
1997-08-30,16.890,0.020,17.550,0.040,17.820,0.030,18.110,0.060,I
1997-09-01,16.930,0.030,17.610,0.040,17.830,0.040,18.190,0.090,I
1998-07-26,16.920,0.030,17.710,0.040,17.320,0.040,17.870,0.060,I
1998-07-28,16.930,0.040,17.720,0.050,17.470,0.050,17.820,0.060,I
1998-08-23,17.090,0.040,17.830,0.030,17.360,0.040,18.140,0.200,I
1998-11-14,16.940,0.030,17.790,0.050,17.440,0.030,17.920,0.060,I
1999-07-20,16.620,0.020,17.760,0.050,17.070,0.020,17.840,0.040,I
1999-07-22,16.630,0.010,17.790,0.030,17.090,0.020,17.820,0.030,I
2000-07-26,16.577,0.004,17.973,0.007,17.590,0.008,17.911,0.006,I
2000-08-04,16.577,0.004,17.968,0.007,17.604,0.006,17.919,0.004,I
2000-08-09,16.586,0.005,17.976,0.008,17.616,0.010,17.925,0.016,I
2000-08-18,16.574,0.006,17.975,0.010,17.612,0.013,17.899,0.012,I
2000-08-25,16.578,0.003,17.982,0.008,17.616,0.004,17.884,0.011,I
2000-09-07,16.583,0.006,17.988,0.010,17.612,0.008,17.884,0.012,I
2000-09-28,16.600,0.006,18.006,0.013,17.657,0.006,17.871,0.016,I
