Obs.Date,magA,e_magA,magB,e_magB,magC,e_magC,magD,e_magD,Band
1995-09-17,17.180,0.030,17.320,0.030,18.130,0.060,18.440,0.070,R
1997-08-29,17.150,0.030,17.720,0.030,18.080,0.120,18.380,0.100,R
1997-08-30,17.140,0.020,17.750,0.030,18.080,0.040,18.410,0.050,R
1997-09-01,17.130,0.040,17.750,0.050,18.010,0.040,18.440,0.110,R
1998-07-26,17.080,0.040,17.820,0.040,17.430,0.060,18.120,0.070,R
1998-07-28,17.140,0.020,18.000,0.020,17.630,0.060,18.320,0.120,R
1998-08-23,17.220,0.070,18.030,0.040,17.410,0.030,18.330,0.060,R
1998-11-14,17.070,0.050,17.890,0.060,17.430,0.050,18.070,0.080,R
1999-07-20,16.750,0.060,17.990,0.060,17.140,0.040,18.150,0.110,R
1999-07-22,16.780,0.010,18.000,0.030,17.130,0.020,18.090,0.020,R
2000-07-26,16.734,0.003,18.184,0.009,17.802,0.006,18.164,0.007,R
2000-08-04,16.731,0.004,18.189,0.008,17.803,0.008,18.171,0.010,R
2000-08-09,16.736,0.004,18.188,0.012,17.803,0.009,18.162,0.010,R
2000-08-18,16.723,0.006,18.194,0.012,17.807,0.013,18.136,0.010,R
2000-08-25,16.743,0.005,18.188,0.007,17.825,0.009,18.135,0.007,R
2000-09-07,16.746,0.005,18.207,0.006,17.833,0.006,18.120,0.008,R
2000-09-28,16.764,0.005,18.273,0.015,17.845,0.010,18.143,0.017,R
