Obs.Date,magA,e_magA,magB,e_magB,magC,e_magC,magD,e_magD,Band
1995-09-17,17.340,0.040,17.440,0.030,18.410,0.100,18.660,0.080,V
1997-08-29,17.430,0.030,17.950,0.050,18.420,0.050,18.780,0.070,V
1997-08-30,17.400,0.030,17.940,0.040,18.350,0.050,18.790,0.060,V
1997-09-01,17.470,0.050,18.010,0.070,18.380,0.060,18.910,0.090,V
1998-07-26,17.300,0.020,18.110,0.050,17.660,0.050,18.520,0.050,V
1998-07-28,17.440,0.030,18.230,0.030,17.780,0.030,18.640,0.050,V
1998-08-23,17.520,0.020,18.230,0.020,17.770,0.040,18.840,0.070,V
1998-11-14,17.340,0.050,18.280,0.050,17.650,0.060,18.480,0.110,V
1999-07-20,16.890,0.040,18.120,0.050,17.190,0.030,18.340,0.110,V
1999-07-22,16.920,0.020,18.160,0.030,17.220,0.020,18.400,0.080,V
2000-07-26,16.888,0.005,18.401,0.016,18.011,0.008,18.400,0.007,V
2000-08-04,16.880,0.004,18.387,0.015,17.992,0.011,18.392,0.017,V
2000-08-09,16.894,0.008,18.423,0.010,18.032,0.017,18.381,0.020,V
2000-08-18,16.878,0.008,18.365,0.025,18.021,0.030,18.350,0.025,V
2000-08-25,16.882,0.006,18.369,0.014,18.008,0.010,18.370,0.015,V
2000-09-07,16.886,0.006,18.398,0.013,17.997,0.007,18.328,0.016,V
2000-09-28,16.918,0.005,18.443,0.011,18.057,0.013,18.365,0.016,V
