lens,ra,dec,Nmed,NoverRmed,zd,zs
SL2SJ0217-0513,34.4049225,-5.2248211,1.155279503,1.39350531,0.646,1.85
SL2SJ0219-0829,34.7589417,-8.4929924,1.242038217,1.407444249,0.389,2.15
SL2SJ0232-0408,38.21486,-4.139942,1.197530864,1.278106492,0.352,2.34
SL2SJ0226-0420,36.54445,-4.3365526,1.026143791,1.117638407,0.494,1.23
SL2SJ1405+5243,211.4425964,52.7197838,1.044247788,1.066325286,0.526,3.01
SL2SJ2203+0205,330.8709106,2.0885811,1.079710145,1.184079861,0.4,2.15
SL2SJ0849-0412,132.28963,-4.20742,1.153284672,1.209567852,0.722,1.54
SL2SJ0225-0454,36.296005,-4.9092998,1.043165468,1.055950952,0.238,1.2
SL2SJ0904-0059,136.03298,-0.99799,1.074626866,1.221030073,0.611,2.36
SL2SJ0901-0259,135.27519,-2.9851564,1.157894737,1.289929697,0.67,1.19
SL2SJ1420+5630,215.2493744,56.5020561,0.974576271,0.961108496,0.483,3.12
SL2SJ1411+5651,212.9043427,56.8552971,1.287671233,1.287515888,0.322,1.42
SL2SJ1427+5516,216.8803406,55.2792435,1.243902439,1.270043004,0.511,2.58
SL2SJ1359+5535,209.9567108,55.5973358,1.019354839,1.277643079,0.783,2.77
SL2SJ0214-0405,33.5467033,-4.0841055,1.14379085,1.334102376,0.609,1.88
