name,ra,deg,z_lens,z_source,mu_kext,xi_kext,log_sigma_kext,kext_med,percent_16,percent_84,Nmed,NoverRmed,NoverRmed_med,Nmed_med
SL2SJ0212-0555,33.199,-5.931,0.75,2.74,0.018,0.031,-3.202,0.033,-0.007,0.087,1.4473684210526316,2.143435391360128,1.3938827425907216,1.4473684210526316
SL2SJ0214-0405,33.547,-4.084,0.609,1.88,-0.001,0.179,-3.686,0.008,-0.017,0.036,1.1238938053097345,5.547443274807099,1.1611974264031557,1.1238938053097345
SL2SJ0217-0513,34.405,-5.225,0.646,1.85,0.027,0.206,-3.26,0.041,0.003,0.084,1.2987012987012987,2.350829249959252,1.4245016377454105,1.2987012987012987
SL2SJ0218-0802,34.505,-8.047,0.884,2.06,-0.003,0.057,-3.738,0.006,-0.017,0.037,1.293859649122807,1.6674307943057198,1.2339615040620333,1.293859649122807
SL2SJ0219-0829,34.759,-8.493,0.389,2.15,0.005,0.128,-3.542,0.015,-0.013,0.05,1.2608695652173914,2.5280523679735,1.251346240969733,1.2608695652173914
SL2SJ0220-0949,35.192,-9.824,0.572,2.61,0.017,0.002,-3.356,0.029,-0.005,0.077,1.4044444444444444,1.8281960404209063,1.3908702378701503,1.4044444444444444
SL2SJ0225-0454,36.296,-4.909,0.238,1.2,-0.01,0.083,-4.235,-0.005,-0.019,0.013,1.0837004405286343,7.153264994024116,1.068706068580258,1.0837004405286343
SL2SJ0226-0420,36.544,-4.337,0.494,1.23,-0.014,0.184,-4.383,-0.01,-0.022,0.005,1.0611353711790392,2.933177088084185,1.0205231886783783,1.0611353711790392
SL2SJ0232-0408,38.215,-4.14,0.352,2.34,0.0,0.091,-3.515,0.01,-0.019,0.048,1.243054960130327,2.435163958357723,1.228152511186297,1.243054960130327
SL2SJ0233-0438,38.28,-4.644,0.671,1.87,-0.007,0.153,-3.726,0.002,-0.022,0.03,1.0131004366812226,1.6877930794753966,1.090578712890791,1.0131004366812226
SL2SJ0848-0351,132.197,-3.851,0.682,1.55,0.026,0.176,-3.286,0.04,0.003,0.083,1.2925030108390203,1.8792483480653184,1.4398238841305853,1.2925030108390203
SL2SJ0849-0412,132.29,-4.207,0.722,1.54,0.001,0.258,-3.825,0.008,-0.014,0.031,1.0547945205479452,1.193595420019992,1.1408745775571631,1.0547945205479452
SL2SJ0855-0147,133.917,-1.792,0.365,3.39,-0.018,0.124,-3.073,-0.002,-0.047,0.055,0.9956140350877192,2.186528246649558,1.0983541608732854,0.9956140350877192
SL2SJ0901-0259,135.275,-2.985,0.67,1.19,-0.006,0.102,-4.178,0.0,-0.015,0.019,1.0909090909090908,4.413897048937952,1.1043685083807646,1.0909090909090908
SL2SJ0904-0059,136.033,-0.998,0.611,2.36,0.009,0.12,-3.326,0.022,-0.014,0.065,1.1565217391304348,1.8022426487051584,1.22761364607594,1.1565217391304348
SL2SJ1359+5535,209.957,55.597,0.783,2.77,-0.006,0.218,-3.27,0.008,-0.03,0.05,1.0524017467248907,6.2143636772451885,1.1313037312918344,1.0524017467248907
SL2SJ1404+5200,211.227,52.007,0.456,1.59,-0.011,0.117,-4.114,-0.005,-0.021,0.015,1.1428571428571428,1.100423958963776,1.09762182937368,1.1428571428571428
SL2SJ1405+5243,211.443,52.72,0.526,3.01,-0.003,0.139,-3.21,0.011,-0.029,0.059,1.1227272727272728,12.094941010006169,1.17241285116126,1.1227272727272728
SL2SJ1406+5226,211.71,52.439,0.716,1.47,-0.005,0.155,-4.021,0.001,-0.016,0.022,1.0220588235294117,2.6716727371261557,1.0933727161953457,1.0220588235294117
SL2SJ1411+5651,212.904,56.855,0.322,1.42,0.006,0.163,-3.917,0.013,-0.007,0.036,1.1885964912280702,18.243303488519462,1.2433989823584923,1.1885964912280702
SL2SJ1420+5630,215.249,56.502,0.483,3.12,-0.025,0.121,-3.294,-0.012,-0.048,0.034,1.0262008733624457,10.121890290116852,1.0285430882144642,1.0262008733624457
SL2SJ1427+5516,216.88,55.279,0.511,2.58,-0.007,0.172,-3.441,0.004,-0.028,0.041,1.183406113537118,7.859293858585872,1.1728011741011564,1.183406113537118
SL2SJ2203+0205,330.871,2.089,0.4,2.15,0.001,0.092,-3.552,0.012,-0.017,0.047,1.14187489154954,1.370479006871422,1.184668323288276,1.14187489154954
SL2SJ2205+0147,331.279,1.784,0.476,2.53,0.007,0.146,-3.045,0.024,-0.023,0.081,1.1045454545454545,2.243932021065439,1.2938682514526332,1.1045454545454545
SL2SJ2221+0115,335.453,1.262,0.325,2.35,0.027,0.117,-3.217,0.042,0.002,0.091,1.360655737704918,2.15397988433297,1.4072283962178551,1.360655737704918
