name,flag_imaging_tan23,slit,width,seeing,z_lens,z_source,sigma_v,sigma_v_error,theta_E,theta_E_error,gamma,gamma_error_stat,gamma_error_sys,e1_mass,e1_mass_error,e2_mass,e2_mass_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2,lensing_information_dinosi,lensing_information_dinosii,sigma_v_pritom,sigma_v_error_pritom,snr_pritom,instrument_resolution_pritom,instrument_resolution_err_pritom
SL2SJ0208-0714,1,1.0,1.62,1.0,0.428,,295.0,27.0,2.583366898085673,0.0231831050185491,1.9831342462398025,0.0338369062405171,0.0702161261231893,0.004230928819742,0.0410866294804024,0.0019610750457468,0.008512608785306,2.092,0.031,double_sersic,0.6461581197626937,4.0,0.082033361066722,0.0721230139695885,69.16663267396375,4.313815391361151,1.0,0.082033361066722,0.0721230139695885,2.9383411039829013,284.4648402534594,84.92504763815782,252.0,19.0,14.0,64.0,6.0
SL2SJ0213-0743,0,1.0,1.68,0.6,0.717,3.48,293.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,344.0,27.0,4.0,97.0,8.0
SL2SJ0214-0405,1,1.0,1.88,0.8,0.609,1.88,287.0,47.0,1.2207574694114196,0.0060350278751053,1.8610199640056184,0.0430833845051498,0.3286323736991171,0.0758473091690547,0.0075151943218624,0.154725746081849,0.0154871190324814,1.184,0.0395,single_sersic,1.1772367719879142,4.0,0.0589104684343034,0.0280441142041814,3.669073704517337,,,,,,237.792130841319,62.87693865218512,209.0,10.0,23.0,32.0,2.0
SL2SJ0217-0513,1,1.5,1.68,0.6,0.646,1.85,239.0,27.0,1.2576558989110849,0.0026282943628138,2.3410033369940217,0.0584991207938363,0.2339345304586898,0.0511982344821545,0.010015669067201,-0.0610488045998596,0.0053801592905492,0.681,0.015,single_sersic,0.6768067993136564,4.0,0.0308409198515438,0.0361706818805053,10.141981030328513,,,,,,358.822685402739,150.8432680169345,273.0,26.0,9.0,97.0,8.0
SL2SJ0219-0829,1,1.0,1.68,0.7,0.389,2.15,289.0,23.0,1.2845947036171346,0.0073052465633979,2.624565144902733,0.1248092740096373,0.0838240565313957,0.1611229309477386,0.0261385360601736,0.0015341473049206,0.0091759158624423,0.881,0.006,double_sersic,0.2470621871263661,4.0,0.1340739384950498,0.0677299285388805,155.67213470944154,1.7891677873732503,1.0,0.1340739384950498,0.0677299285388805,6.073849853686906,102.85773548579488,45.77620872826516,285.0,10.0,17.0,99.0,4.0
SL2SJ0223-0651,0,1.0,1.64,1.0,0.473,,312.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,325.0,23.0,20.0,59.0,4.0
SL2SJ0225-0454,1,1.0,0.81,0.7,0.238,1.2,234.0,21.0,1.71593290885694,0.0193552759070217,1.960098570969139,0.0290136285171301,0.1142615761413878,-0.0937155222963396,0.0167417769571592,0.1726655376697283,0.0171671415201537,2.55,0.0125,single_sersic,2.5511824529424336,4.0,-0.1223124924104996,0.1503894129992096,0.9738118799998436,,,,,,566.5661318466143,142.60779567701016,,,,,
SL2SJ0226-0406,1,1.5,1.68,0.6,0.766,,333.0,24.0,1.289256790051473,0.0156973238870263,2.018415513428858,0.1990284802792671,0.1123138192540498,0.0635551865562398,0.0297534898152051,-0.1188869789542598,0.0441805604770674,0.884,0.035,single_sersic,0.8791637165188793,4.0,0.0305745854299603,-0.4407169015456178,0.2286161559976696,,,,,,111.66845948506808,31.80087673473541,341.0,10.0,31.0,32.0,2.0
SL2SJ0226-0420,1,1.0,1.62,0.6,0.494,1.23,263.0,24.0,1.098957482630059,0.0136630876511623,2.1412751386963413,0.0986646718003363,0.077122005913092,0.0681720933086344,0.0444318836094149,0.0676357533294595,0.0336680082180615,0.89,0.0135,single_sersic,0.8887315743050282,4.0,0.030071986629304,0.0546282353271793,0.8321102694996734,,,,,,271.4810096119028,62.60002110816651,310.0,14.0,20.0,94.0,6.0
SL2SJ0232-0408,1,1.0,1.68,0.7,0.352,2.34,281.0,26.0,1.0116420186170254,0.0065666808218656,2.486679962941417,0.156260122766652,0.1946754794524523,0.0663636212302908,0.0396373525138855,-0.1008183261189497,0.0386349499823479,1.128,0.012,single_sersic,1.1293814072745456,4.0,0.0845587795780454,-0.1343262084441172,0.7054779642453619,,,,,,166.8069341401374,54.46351432849459,208.0,5.0,35.0,30.0,1.0
