Name,Instrument,SNR,Instrument_sigma,Instrument_sigma_un,BIC_weighted_sigma,BIC_weighted_stat_un,BIC_weighted_sys_un,eq_weighted_sigma,eq_weighted_stat_un,eq_weighted_sys_un
SL2SJ020457-110309,XSHOOTER,9,31,2,245,19,11,247,19,11
SL2SJ020524-093023,XSHOOTER,7,31,2,280,21,4,279,20,4
SL2SJ020833-071414,LRIS,14,64,6,252,19,3,252,19,3
SL2SJ021206-075528,LRIS,23,52,7,234,8,2,235,8,2
SL2SJ021247-055552,XSHOOTER,15,32,2,255,10,4,254,10,4
SL2SJ021325-074355,LRIS,4,97,8,354,24,13,352,24,13
SL2SJ021411-040502,XSHOOTER,23,32,2,209,7,7,213,7,7
SL2SJ021737-051329,LRIS,9,97,8,285,20,15,282,21,15
SL2SJ021801-080247,XSHOOTER,5,31,2,254,28,3,255,28,3
SL2SJ021902-082934,LRIS,17,99,4,288,7,7,284,7,7
SL2SJ022046-094927,XSHOOTER,8,32,2,187,16,1,188,16,1
SL2SJ022056-063934,LRIS,18,97,8,250,11,8,245,11,8
SL2SJ022346-053418,LRIS,15,64,6,298,16,7,299,16,7
SL2SJ022357-065142,LRIS,20,59,4,333,15,18,321,15,18
SL2SJ022610-042011,LRIS,20,94,6,307,13,6,311,13,6
SL2SJ022648-040610,XSHOOTER,31,32,2,341,9,5,344,8,5
SL2SJ022648-090421,LRIS,16,97,8,331,8,12,323,8,12
SL2SJ022708-065445,XSHOOTER,6,32,2,221,22,14,223,22,14
SL2SJ023251-040823,XSHOOTER,35,30,1,208,5,1,208,5,1
SL2SJ023307-043838,XSHOOTER,8,31,2,311,18,6,310,18,6
SL2SJ084847-035103,XSHOOTER,13,33,2,198,8,2,198,8,2
SL2SJ084909-041226,DEIMOS,17,61,6,337,14,5,340,14,5
SL2SJ084934-043352,LRIS,19,56,2,221,11,0,221,11,0
SL2SJ084959-025142,XSHOOTER,65,33,0,208,4,1,208,4,1
SL2SJ085019-034710,LRIS,20,58,1,238,12,10,232,12,10
SL2SJ085540-014730,LRIS,18,56,2,196,11,1,195,10,1
SL2SJ085559-040917,LRIS,27,51,7,286,9,11,279,8,11
SL2SJ085826-014300,LRIS,8,64,6,241,14,2,241,14,2
SL2SJ090106-025906,XSHOOTER,5,33,2,223,25,27,219,25,27
SL2SJ090407-005952,XSHOOTER,19,33,1,232,9,0,233,9,0
SL2SJ095921+020638,XSHOOTER,17,33,1,200,8,0,199,8,0
SL2SJ135847+545913,LRIS,22,62,9,257,9,1,256,9,1
SL2SJ135949+553550,LRIS,9,65,6,214,16,15,211,16,15
SL2SJ140123+555705,LRIS,9,85,13,369,18,13,371,18,13
SL2SJ140156+554446,LRIS,28,64,5,273,10,3,275,9,3
SL2SJ140454+520024,LRIS,31,63,6,352,10,15,342,9,15
SL2SJ140546+524311,LRIS,19,61,8,259,9,2,258,8,2
SL2SJ140614+520253,LRIS,8,85,13,273,14,6,272,14,6
SL2SJ140650+522619,LRIS,12,65,6,266,11,6,267,11,6
SL2SJ142031+525822,LRIS,19,70,3,221,11,7,216,11,7
SL2SJ142059+563007,LRIS,20,63,8,286,14,1,285,14,1
SL2SJ220329+020518,LRIS,29,66,2,214,11,10,208,10,10
SL2SJ220506+014703,XSHOOTER,31,32,2,317,7,14,309,7,14
SL2SJ220629+005728,LRIS,4,97,8,288,27,9,286,27,9
SL2SJ221326-000946,XSHOOTER,30,31,2,192,11,3,190,11,3
SL2SJ221407-180712,LRIS,5,97,8,210,16,13,208,16,13
SL2SJ221852+014038,LRIS,19,64,3,294,12,4,291,11,4
SL2SJ221929-001743,LRIS,26,55,3,241,7,0,241,7,0
SL2SJ222012+010606,DEIMOS,17,79,1,248,15,1,248,14,1
SL2SJ222148+011542,DEIMOS,29,74,5,278,10,8,283,10,8
SL2SJ222217+001202,LRIS,11,63,4,196,20,3,196,20,3
