name,flag_imaging_tan23,flag_imaging_shajib20,perturber_flag,flag_sigma,z_lens,z_source,sigma_v,sigma_v_error,q,comment_imaging,IFU,n_bin_kcwi,psf_ifu_kcwi,flag_ifu_kcwi,comment_ifu_kcwi,n_bin_vimos,r_max_vimos,psf_ifu_vimos,fiber_scale_vimos,flag_ifu_vimos,ifu_file_name_vimos,comment_ifu_vimos,r_eff_auger,r_eff,r_eff_error,theta_E_auger,theta_E,theta_E_error,gamma,gamma_error,e1_mass,e1_mass_error,e2_mass,e2_mass_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2
SDSSJ0008-0004,1,0,1,0,0.44,1.192,227,27,-1,,0,,,,,,,,,,,,1.82,1.925,0.027,1.159,1.225,0.0085,1.75,0.064,-0.028,0.0075,0.248,0.017,single_sersic,1.925682504,4,-0.01845058,0.054492254,0.243888506,,,,,
SDSSJ0029-0055,1,1,1,1,0.227,0.931,215,14,-1,,1,7,0.8,1,,,,,,,,,2.58,2.386,0.005,0.957,0.945,0.003,2.69,0.0265,-0.122,0.019,0.162,0.024,double_sersic,0.935351821,4,-0.049018952,0.069435795,2.954256505,4.120640982,1,-0.049018952,0.069435795,0.292314623
SDSSJ0037-0942,1,1,1,1,0.195,0.632,264,7,-1,,1,7,0.8,1,minor rotation,3,3,0.8,0.67,1,J0037_kinmap.fits,minor rotation,2.68,2.349,0.003,1.53,1.476,0.0085,2.38,0.015,-0.13,0.0165,0.083,0.012,single_sersic,2.349775207,4,-0.135715078,0.055215706,2.017018454,,,,,
SDSSJ0044+0113,0,0,1,1,0.12,0.197,267,8,-1,,0,,,,,,,,,,,,3.25,,,0.795,,,,,,,,,,,,,,,,,,,
SDSSJ0216-0813,0,0,1,0,0.3317,0.5235,350,18,,,1,,,,,4,4,0.8,0.67,1,J0216_kinmap.fits,,2.97,,,1.159,,,,,,,,,,,,,,,,,,,
SDSSJ0252+0039,1,1,0,1,0.28,0.982,193,9,-1,,0,,,,,,,,,,,,1.36,1.187,0.008,1.037,1.028,0.001,1.55,0.0155,0.047,0.0025,-0.032,0.002,double_sersic,1.25719697,4,0.032394259,-0.028212039,0.888314487,1.055189841,1,0.032394259,-0.028212039,0.615282203
SDSSJ0330-0020,1,1,1,1,0.351,1.071,273,22,-1,,1,5,0.8,0,"fewer Voronoi bins, lower confidence",,,,,,52.5505833,-0.34775,1.52,1.378,0.016,1.101,1.094,0.003,2.14,0.0065,0.174,0.0075,-0.112,0.0065,double_sersic,0.708753598,4,0.105787728,-0.096612824,2.050847843,3.473340838,1,0.105787728,-0.096612824,0.082835713
SDSSJ0728+3835,1,1,1,1,0.206,0.688,209,8,-1,,0,,,,,,,,,,,,2.01,1.753,0.007,1.247,1.261,0.0025,1.64,0.0065,0.075,0.058,0.097,0.0335,double_sersic,1.071364283,4,0.102925986,0.103059882,4.027262009,3.784347767,1,0.102925986,0.103059882,0.262768453
SDSSJ0737+3216,1,1,0,1,0.322,0.581,313,10,-1,,0,,,,,,,,,,,,3.38,3.098,0.08,0.997,0.963,0.001,2.32,0.0205,0.075,0.0055,-0.031,0.003,double_sersic,1.586750327,4,0.080788351,-0.03605975,6.865679531,5.600435968,1,0.080788351,-0.03605975,0.728567833
SDSSJ0819+4534,1,0,0,0,0.194,0.446,231,12,-1,,0,,,,,,,,,,,,2.8,3.063,0.008,0.847,0.784,0.007,1.84,0.0335,0.045,0.0075,0.124,0.0145,double_sersic,0.887582096,4,-0.007444872,0.140499081,3.493565999,5.570925979,1,-0.007444872,0.140499081,0.201249125
SDSSJ0903+4116,1,1,0,0,0.43,1.065,270,21,-1,,0,,,,,,,,,,,,2.19,2.982,0.07,1.289,1.275,0.0015,2.17,0.006,-0.126,0.0055,0.062,0.004,double_sersic,1.035708328,4,-0.085831456,-0.013656352,1.049495947,6.039004263,1,-0.085831456,-0.013656352,0.054464873
SDSSJ0912+0029,1,0,1,1,0.164,0.324,301,8,-1,,1,,,,,3,3,0.8,0.67,1,J0912_kinmap.fits,,4.29,4.295,0.009,1.627,1.609,0.0015,1.58,0.0055,-0.122,0.004,0.063,0.003,double_sersic,4.756454037,4,-0.18787341,0.085517782,7.896540834,0.985424208,1,-0.18787341,0.085517782,19.81978336
SDSSJ0935-0003,0,0,0,1,0.347,0.467,308,20,-1,,1,,,,,3,3,0.8,0.67,1,J0935_kinmap.fits,,4.12,,,0.867,,,,,,,,,,,,,,,,,,,
SDSSJ0936+0913,1,0,0,1,0.19,0.588,227,8,-1,,0,,,,,,,,,,,,2.5,2.108,0.006,1.089,1.096,0.003,2.21,0.0165,-0.058,0.0155,-0.138,0.014,double_sersic,1.162788097,4,-0.04127789,-0.098124752,3.996020023,3.913771431,1,-0.04127789,-0.098124752,0.402910987
SDSSJ0959+0410,1,1,1,1,0.126,0.535,192,8,-1,,1,,,,,3,3,0.8,0.67,-1,J0959_kinmap.fits,rotation,1.51,0.968,0.001,0.993,0.96,0.002,2.22,0.016,0.103,0.0065,0.115,0.0085,double_sersic,0.494830658,4,0.078018196,0.145782452,69.5377838,1.287824886,1,0.078018196,0.145782452,25.19934619
SDSSJ0959+4416,0,0,1,1,0.237,0.531,241,13,-1,,0,,,,,,,,,,,,2.04,,,0.961,,,,,,,,,,,,,,,,,,,
SDSSJ1016+3859,0,0,1,1,0.168,0.439,254,9,-1,,0,,,,,,,,,,,,1.65,,,1.09,,,,,,,,,,,,,,,,,,,
SDSSJ1020+1122,0,0,1,1,0.282,0.553,281,13,-1,,0,,,,,,,,,,,,1.52,,,1.2,,,,,,,,,,,,,,,,,,,
SDSSJ1023+4230,1,0,1,1,0.191,0.696,271,11,-1,,0,,,,,,,,,,,,2.07,1.874,0.009,1.414,1.4,0.002,2.22,0.026,-0.029,0.0045,-0.039,0.005,double_sersic,1.315754884,4,-0.075273922,-0.039796172,3.087032052,3.890380277,1,-0.075273922,-0.039796172,0.214881652
SDSSJ1100+5329,1,0,1,0,0.317,0.858,210,17,-1,,0,,,,,,,,,,,,2.96,2.01,0.014,1.518,1.461,0.003,1.89,0.0165,0.223,0.005,-0.089,0.004,double_sersic,1.526589538,4,0.240257036,-0.118648489,1.241493246,3.616370292,1,0.240257036,-0.118648489,0.122840275
SDSSJ1112+0826,1,1,1,1,0.273,0.629,260,14,-1,,1,6,0.8,1,"Fast rotation, fewer Voronoi bins, lower confidence",,,,,168.210833,8.4362222,0.74601381,1.83,1.623,0.003,1.485,1.497,0.0105,1.92,0.0195,-0.034,0.0085,-0.146,0.0225,single_sersic,1.623639605,4,-0.018547391,-0.137840951,1.63764534,,,,,
SDSSJ1134+6027,1,0,1,1,0.153,0.474,238,7,-1,,0,,,,,,,,,,,,2.15,1.899,0.007,1.102,1.243,0.0045,1.75,0.007,-0.005,0.003,-0.013,0.008,double_sersic,1.08185611,4,-0.062746261,-0.073590571,5.340157465,4.240756965,1,-0.062746261,-0.073590571,0.313127956
SDSSJ1142+1001,0,0,1,1,0.222,0.504,237,15,-1,,0,,,,,,,,,,,,2.11,,,0.984,,,,,,,,,,,,,,,,,,,
SDSSJ1143-0144,0,0,0,1,0.106,0.402,259,3,-1,,0,,,,,,,,,,,,5.41,,,1.684,,,,,,,,,,,,,,,,,,,
SDSSJ1153+4612,0,0,1,1,0.18,0.875,210,11,-1,,0,,,,,,,,,,,,1.43,,,1.048,,,,,,,,,,,,,,,,,,,
SDSSJ1204+0358,1,1,1,1,0.164,0.631,250,12,-1,,1,7,0.8,1,,2,2,0.8,0.67,1,J1204_kinmap.fits,181.183625,1.65,1.544,0.004,1.308,1.295,0.0025,2.02,0.0165,0.042,0.005,0.034,0.0055,double_sersic,0.903354684,4,-0.00683364,-0.005507721,5.240864188,2.821608969,1,-0.00683364,-0.005507721,0.566274518
SDSSJ1213+6708,1,0,1,1,0.123,0.64,267,7,-1,,0,,,,,,,,,,,,3.36,2.771,0.003,1.416,1.451,0.005,1.71,0.0075,-0.007,0.0045,0.002,0.001,double_sersic,1.111983795,4,-0.085781352,0.071297973,8.097223918,4.835036516,1,-0.085781352,0.071297973,0.792109191
SDSSJ1218+0830,1,0,1,1,0.135,0.717,221,6,-1,,0,,,,,,,,,,,,3.77,3.506,0.021,1.45,1.489,0.0075,1.96,0.0135,0.041,0.01,0.216,0.0175,double_sersic,2.217516013,4,0.029032621,0.16541163,2.850465342,8.380169276,1,0.029032621,0.16541163,0.139733877
SDSSJ1250-0135,0,-1,0,1,0.0871,0.3529,234,6,,no Einstein radius reported in Auger et al. 2009,1,,,,,4,4,0.8,0.67,0,J1250B_kinmap.fits,should have IFU flag=1 but does not have an Einstein radius,4.01,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1250+0523,1,1,1,1,0.232,0.795,242,10,-1,,1,7,0.8,1,minor rotation,3,3,0.8,0.67,1,J1250A_kinmap.fits,192.61775,1.91,1.639,0.01,1.13,1.12,0.001,2.18,0.0155,0.027,0.003,-0.027,0.003,double_sersic,0.972060364,4,0.027362707,-0.014247465,36.27427353,2.96600536,1,0.027362707,-0.014247465,4.052363892
SDSSJ1251-0208,0,0,1,0,0.2243,0.7843,209,19,,,1,,,,,3,3,0.8,0.67,0,J1251_kinmap.fits,fast rotation,5.34,,,0.841,,,,,,,,,,,,,,,,,,,
SDSSJ1306+0600,1,1,1,0,0.173,0.472,247,13,-1,,1,6,0.8,1,minor rotation,,,,,,,196.556875,2.34,2.276,0.031,1.317,1.312,0.006,1.97,0.028,-0.002,0.011,-0.067,0.008,double_sersic,1.693936465,4,-0.016435364,-0.067463712,2.110219585,7.058956408,1,-0.016435364,-0.067463712,0.04768516
