name,flag_imaging_tan23,flag_imaging_shajib20,perturber_flag,flag_sigma,z_lens,z_source,sigma_v,sigma_v_error,q,comment_imaging,IFU,n_bin_kcwi,psf_ifu_kcwi,flag_ifu_kcwi,comment_ifu_kcwi,n_bin_vimos,r_max_vimos,psf_ifu_vimos,fiber_scale_vimos,flag_ifu_vimos,ifu_file_name_vimos,comment_ifu_vimos,r_eff_auger,theta_E_auger,theta_E,theta_E_error,gamma,gamma_error_stat,gamma_error_sys,e1_mass,e1_mass_error,e2_mass,e2_mass_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2,lensing_information_dinosi,lensing_information_dinosii,spectra_snr_flag,sigma_v_smk,sigma_v_error_smk,sdss_spectra_snr,sigma_v_kcwi_half_reff,sigma_v_kcwi_half_reff_error
SDSSJ0008-0004,1,0,1,0,0.44,1.192,227,27,-1.0,,0,,,,,,,,,,,,1.82,1.159,1.2247385141457758,0.0087469191212509,1.74953255938758,0.1320499423043153,0.3263066428117391,-0.028223202704518,0.007898578729132,0.2479470097573855,0.0170021236645749,1.926,0.0275,single_sersic,1.925682504283448,4.0,-0.0184505802507627,0.0544922541118711,0.2438885059362176,,,,,,112.22948004118004,34.14885674615988,0,245.03844001674096,36.65165656530225,4.117386817932129,,
SDSSJ0029-0055,1,1,1,1,0.227,0.931,215,14,-1.0,,1,6.0,0.8,1.0,,,,,,,,,2.58,0.957,0.9446925904908946,0.0026947092739452,2.6874663451451104,0.0454606059877409,0.2462855231826461,-0.1220971793740596,0.019013297573093,0.1615779567106811,0.0241021259566597,2.386,0.005,double_sersic,0.9353518208469668,4.0,-0.0490189523246715,0.0694357954270032,2.95425650534484,4.120640981799953,1.0,-0.0490189523246715,0.0694357954270032,0.2923146226226411,301.348579488811,128.32528086871588,0,196.65495167491903,18.008693197761325,6.591143608093262,208.2,2.8
SDSSJ0037-0942,1,1,1,1,0.195,0.632,264,7,-1.0,,1,6.0,0.8,1.0,minor rotation,3.0,3.0,0.8,0.67,1.0,J0037_kinmap.fits,minor rotation,2.68,1.53,1.475673703841136,0.0083451871725881,2.383191573485509,0.0187000518421977,0.1100579216438138,-0.13015726311759,0.0166429224163657,0.0827372895415385,0.0120129757516081,3.334,0.047,double_sersic,1.7857528579411246,4.0,-0.1413508670801019,0.0550604882683111,2.918358609409207,11.892235279164876,1.0,-0.1413508670801019,0.0550604882683111,0.0511653879639543,838.246214152257,240.12802186276,0,309.32387002301215,13.557891958952167,14.24567699432373,278.8,2.9
SDSSJ0044+0113,0,0,1,1,0.12,0.197,267,8,-1.0,,0,,,,,,,,,,,,3.25,0.795,,,,,,,,,,,,,,,,,,,,,,,,,0,248.8736433300305,12.741829748268591,14.801843643188477,,
SDSSJ0216-0813,0,0,1,0,0.3317,0.5235,350,18,,,1,,,,,4.0,4.0,0.8,0.67,1.0,J0216_kinmap.fits,,2.97,1.159,,,,,,,,,,,,,,,,,,,,,,,,,0,310.0000873638279,22.6559119347074,6.897154331207275,,
SDSSJ0252+0039,1,1,0,1,0.28,0.982,193,9,-1.0,,0,,,,,,,,,,,,1.36,1.037,1.0283368015311731,0.0006470472184597,1.549123102297036,0.0375362625093704,0.1245267031326625,0.046590073110874,0.0021815240965454,-0.0324654559093609,0.0019228282598492,1.485,0.005,single_sersic,1.4855186623422711,4.0,0.0325708662891329,-0.0279944237643411,0.8922171234102476,,,,,,521.8355865524865,195.15845550586573,0,175.68125388076746,15.245173136795716,6.77750301361084,,
SDSSJ0330-0020,1,1,1,1,0.351,1.071,273,22,-1.0,,1,7.0,0.8,0.0,"fewer Voronoi bins, lower confidence",,,,,,52.5505833,-0.34775,1.52,1.101,1.0937393823961563,0.0033338444009211,2.140962690901248,0.0070549926965557,0.166904946712754,0.1741222497317298,0.0078122972005361,-0.1122369408098921,0.0066663339836014,1.243,0.0045,single_sersic,1.2432274008379864,4.0,0.1070343022700837,-0.0937182042496274,0.9672316375139852,,,,,,1936.3962408335096,443.1357197697839,0,288.21469936034725,26.0868260043054,6.472959995269775,258.5,6.7
SDSSJ0728+3835,1,1,1,1,0.206,0.688,209,8,-1.0,,0,,,,,,,,,,,,2.01,1.247,1.260646235985115,0.0023643313157205,1.6365849374736785,0.2440050564849289,0.0491687375445684,0.0752415057595757,0.0581714922439632,0.0967575240394405,0.0332604631214035,1.899,0.003,single_sersic,1.8991984929750427,4.0,0.1028410281333661,0.1023360409968592,1.8982818618213533,,,,,,405.2920353661577,134.02147495658048,0,,,,,
SDSSJ0737+3216,1,1,0,1,0.322,0.581,313,10,-1.0,,0,,,,,,,,,,,,3.38,0.997,0.9630363075961514,0.0009242342272381,2.315637764724049,0.0348370130591288,0.2030088008663452,0.0748745882114028,0.0053664266136167,-0.030560349432652,0.0030448569440075,2.828,0.0145,single_sersic,2.827934976157568,4.0,0.0723755849111823,-0.0342920927973771,3.5667689832119263,,,,,,405.6844244393511,176.38675492760464,0,289.48707781032056,14.579976933446456,9.42171859741211,,
SDSSJ0819+4534,1,0,0,0,0.194,0.446,231,12,-1.0,,0,,,,,,,,,,,,2.8,0.847,0.7837462825717325,0.0068733181753136,1.8441558676719425,0.0779443119934449,0.2028664518983014,0.0448985133490882,0.0075153419872767,0.1238376374383325,0.014326045416668,3.063,0.008,double_sersic,0.8875820958645979,4.0,-0.007444871937318,0.140499081207371,3.493565998529089,5.570925978694557,1.0,-0.007444871937318,0.140499081207371,0.2012491251886105,1236.782595444113,267.3596720689804,0,183.1402624574669,15.699715289811977,7.655345916748047,,
