obj_name,zlens,VD_half_reff,dVD_half_reff,VD_reff,dVD_reff,VD_sdssap_kcwi,dVD_sdssap_kcwi,VD_sdss_smk,dVD_sdss_smk,VD_sdss_asb,dVD_sdss_asb,VD_slacs_ix,dVD_slacs_ix,reff,ellipticity,V_sigma,lambda_R,lambda_R_class
SDSSJ0029-0055,0.227,207,7,200,9,206,2,197,18,216,15,229,18,2.3,0.16,0.07,0.056,slow
SDSSJ0037-0942,0.195,279,7,265,8,274,1,309,14,265,8,279,10,2.3,0.27,0.162,0.151,slow
SDSSJ0330-0020,0.351,258,12,247,13,250,5,288,26,273,23,212,21,1.26,0.23,0.106,0.094,slow
SDSSJ1112+0826,0.273,274,7,264,9,270,2,271,22,260,15,320,20,1.55,0.23,0.236,0.208,fast
SDSSJ1204+0358,0.1639999999999999,262,5,249,7,246,2,254,18,251,12,267,17,1.63,0.03,0.071,0.059,slow
SDSSJ1250+0523,0.232,243,6,231,7,235,1,220,12,242,10,252,14,1.86,0.03,0.129,0.113,fast
SDSSJ1306+0600,0.173,230,7,221,9,223,2,242,18,248,14,237,17,2.08,0.09,0.11,0.101,slow
SDSSJ1402+6321,0.205,285,7,276,8,279,1,249,14,274,11,267,17,2.65,0.23,0.084,0.073,slow
SDSSJ1531-0105,0.16,273,9,267,10,272,2,262,13,261,10,279,12,2.73,0.32,0.052,0.045,slow
SDSSJ1538+5817,0.143,236,5,225,7,216,2,253,15,177,9,189,12,1.45,0.18,0.055,0.048,slow
SDSSJ1621+3931,0.245,255,10,242,12,256,2,238,21,234,15,236,20,2.3,0.27,0.224,0.2,fast
SDSSJ1627-0053,0.208,262,10,261,12,261,2,254,13,274,11,290,14,2.02,0.15,0.083,0.07,slow
SDSSJ1630+4520,0.248,280,7,267,9,271,2,269,16,283,13,276,16,2.01,0.16,0.095,0.088,slow
SDSSJ2303+1422,0.155,259,9,258,9,257,2,267,21,251,13,255,16,3.46,0.36,0.062,0.058,slow
