ID,Survey,RAJ2000,DEJ2000,P,nJ,nH,Jmag,e_Jmag,Hmag,e_Hmag,Type,Flag,FlagJ,FlagH,E(B-V),Jmagc,Hmagc,Catalog
2127903,K18a,11.729188,42.083119,2.697333,1,1,21.314,0.036,20.89,0.042,FM,0,0,1,0.28059,21.144,20.791,C
2123916,K18a,11.626458,42.073648,2.787781,1,1,20.8,0.036,20.459,0.041,FM,0,0,1,0.24891,20.643,20.368,C
2092386,K18a,11.67061,41.996639,2.953075,1,1,20.947,0.036,20.63,0.041,FM,0,0,0,0.2791,20.778,20.531,C
223953,K18a,11.26975,41.39409,3.063546,1,1,21.051,0.036,20.615,0.041,FM,0,0,0,0.20629,20.913,20.535,C
2129973,K18a,11.683279,42.089246,3.114796,1,1,20.969,0.036,20.518,0.041,FM,0,0,1,0.2165,20.826,20.436,C
160291,K18a,10.958919,41.143335,3.12339,1,1,21.07,0.036,20.581,0.041,FM,0,0,0,0.20976,20.93,20.5,C
2079623,K18a,11.443264,41.969087,3.135732,1,1,20.808,0.036,20.517,0.041,FM,0,0,0,0.24284,20.654,20.428,C
2105570,K18a,11.67738,42.026863,3.196976,1,1,20.95,0.036,20.586,0.041,FM,0,0,1,0.24089,20.796,20.497,C
779588,K18a,11.415185,41.531617,3.230272,1,1,20.924,0.036,20.504,0.041,FM,0,0,0,0.20742,20.785,20.423,C
2467145,K18a,11.83505,42.196034,3.270625,1,1,20.897,0.036,20.448,0.041,FM,0,0,0,0.25889,20.736,20.354,C
2052821,K18a,11.438714,41.906319,3.275213,1,1,20.702,0.036,20.37,0.041,FM,0,0,0,0.2732,20.534,20.273,C
2125362,K18a,11.732218,42.076624,3.3257,1,1,21.02,0.036,20.552,0.041,FM,0,0,1,0.25868,20.859,20.458,C
2484166,K18a,11.676546,42.26048,3.381349,1,1,20.884,0.036,20.461,0.041,FM,0,0,0,0.26476,20.721,20.366,C
837164,K18a,11.423479,41.70592,3.481327,1,1,20.986,0.036,20.472,0.042,FM,0,0,0,0.22389,20.84,20.388,C
2162734,K18a,11.598024,42.209667,3.496315,1,1,20.967,0.036,20.509,0.041,FM,0,0,0,0.31046,20.783,20.402,C
219355,K18a,11.240316,41.376523,3.519086,1,1,21.025,0.036,20.539,0.041,FM,0,0,0,0.1954,20.891,20.462,C
1054161,K18a,11.266136,41.517325,3.527211,1,1,20.721,0.036,20.248,0.041,FM,0,0,0,0.29585,20.543,20.145,C
828453,K18a,11.425988,41.682138,3.529851,1,1,20.832,0.036,20.348,0.041,FM,0,0,0,0.18345,20.705,20.273,C
843432,K18a,11.465941,41.721832,3.582429,1,1,20.884,0.036,20.431,0.041,FM,0,0,0,0.24994,20.727,20.34,C
2120016,K18a,11.693681,42.062716,3.597304,1,1,20.972,0.036,20.48,0.041,FM,0,0,1,0.23718,20.821,20.392,C
