parameter,value,error,source_id
mu_M101,29.159512677897624,0.038751213399771944,M101
mu_M1337,32.91556155810909,0.08211918893742473,M1337
mu_N0691,32.822200385691815,0.08768114814664062,N0691
mu_N1015,32.617748081806354,0.06007674175644304,N1015
mu_N105A,34.49337496345146,0.11935780584766889,N105A
mu_N1309,32.50896360923545,0.05067802797480969,N1309
mu_N1365,31.325415435304393,0.05006324198792213,N1365
mu_N1448,31.295113402826473,0.03572855147078814,N1448
mu_N1559,31.460782722043717,0.05163338183143694,N1559
mu_N2442,31.4652294026005,0.05463669960157768,N2442
mu_N2525,32.011384501587315,0.06065911979759188,N2525
mu_N2608,32.62780095307231,0.11484341674416439,N2608
mu_N3021,32.3915782508941,0.09661890006327872,N3021
mu_N3147,33.09079245164219,0.0854830197759541,N3147
mu_N3254,32.40309755164512,0.05642765645470605,N3254
mu_N3370,32.14249679432599,0.04563473133220233,N3370
mu_N3447,31.944288930942406,0.03333159100221084,N3447
mu_N3583,32.78990127849141,0.06342230580662926,N3583
mu_N3972,31.707206094762313,0.0676238347875992,N3972
mu_N3982,31.638182795384395,0.05613440859270936,N3982
mu_N4038,31.633833407662905,0.0800615212766845,N4038
mu_N4424,30.8238863183646,0.10803518441177569,N4424
mu_N4536,30.835496397778556,0.04797577794205239,N4536
mu_N4639,31.787385007269208,0.07135652837484752,N4639
mu_N4680,32.54680993735704,0.14704425851633604,N4680
mu_N5468,33.18726848481228,0.0485085615123016,N5468
mu_N5584,31.865539486360575,0.045375704532527414,N5584
mu_N5643,30.50840862855462,0.04233846356111987,N5643
mu_N5728,32.91590277778204,0.10319261895982407,N5728
mu_N5861,32.20520681791936,0.07563445755226449,N5861
mu_N5917,32.33689541476585,0.07694249721556273,N5917
mu_N7250,31.60597223746062,0.10331342528675307,N7250
mu_N7329,33.26914458542842,0.07020100718025811,N7329
mu_N7541,32.57968347083734,0.08435557889262163,N7541
mu_N7678,33.266894397299865,0.08320427254186362,N7678
mu_N976A,33.54384445493261,0.08232851525451716,N976A
mu_U9391,32.815990280599635,0.05443888604277936,U9391
mu_N4258,29.38530384950552,0.02179609448376702,N4258
mu_LMC,18.487089914716,0.019405910220439044,LMC
mu_M31,24.37137444201558,0.06868376896148383,M31
