Source,Data,L_col_bW,L_col_ZW
M101,23.6914,-0.164088,0.0525404
M101,22.9545,-0.162824,0.0890804
M101,23.5352,-0.157178,0.0886804
M101,23.4527,-0.139711,0.0834404
M101,23.7464,-0.138397,0.11477
M101,23.8682,-0.122287,0.0821204
M101,23.7039,-0.121196,0.0847604
M101,23.6505,-0.0879675,0.0858404
M101,23.9037,-0.0828434,0.0815004
M101,23.6497,-0.0574484,0.0986104
M101,23.3469,-0.038169,0.0765804
M101,23.2885,-0.0333629,0.0995204
M101,23.0895,-0.0330818,0.0803804
M101,23.387,-0.0157316,0.0822004
M101,23.5164,-0.014339,0.10191
M101,23.4303,-0.0139803,0.0806104
M101,23.4655,-0.00152308,0.0948704
M101,23.9913,0.000432134,0.10272
M101,23.0517,0.00671577,0.0854904
M101,22.9155,0.0107138,0.0342404
M101,23.3025,0.0107561,0.0893104
M101,23.2439,0.0161412,0.0790704
M101,22.6102,0.0199295,0.10883
M101,22.8044,0.0284662,0.11444
M101,22.4006,0.0327128,0.0930004
M101,23.1889,0.0360005,0.0850204
M101,22.9602,0.0393031,0.10701
M101,23.4137,0.0520757,0.13889
M101,23.5213,0.0551441,0.10886
M101,23.4132,0.0591767,0.12679
M101,22.9714,0.0594795,0.10907
M101,22.2154,0.0599711,0.0916604
M101,22.7033,0.0603112,0.0966704
M101,22.7981,0.0625337,0.0705704
M101,23.1672,0.0665358,0.0501004
M101,22.9121,0.066573,0.0475104
M101,23.1409,0.067317,0.0720604
M101,23.3719,0.0679113,0.11227
M101,22.7191,0.0696889,0.0906604
M101,23.5237,0.0700214,0.11342
M101,23.5973,0.0737357,0.0935004
M101,22.6113,0.0737357,0.0781304
M101,22.8105,0.0743213,0.10809
M101,22.3062,0.0751981,0.10504
M101,22.7863,0.0812864,0.12255
M101,23.1865,0.0842273,0.11442
M101,22.7586,0.0863668,0.0822604
M101,23.2997,0.0914235,0.1294
M101,23.6708,0.095796,0.13952
M101,23.046,0.0984678,0.11513
M101,22.2968,0.0986754,0.10625
M101,22.0415,0.110072,0.11649
M101,22.8634,0.110577,0.11466
M101,22.2645,0.112993,0.11127
M101,23.3439,0.113628,0.0965204
M101,22.531,0.120192,0.0786704
M101,23.4433,0.120488,0.10206
M101,23.1621,0.126432,0.0912804
M101,22.902,0.13066,0.10452
M101,22.5191,0.132679,0.139
M101,23.149,0.14581,0.0935304
M101,22.5961,0.145841,0.10928
M101,23.2305,0.158827,0.10313
M101,22.8065,0.16063,0.0805504
M101,22.597,0.165726,0.0950704
M101,22.6811,0.170675,0.0967004
M101,22.5783,0.173507,0.0719004
M101,22.6899,0.175569,0.11571
M101,22.681,0.178542,0.11005
M101,22.749,0.18275,0.10453
M101,22.4093,0.184655,0.0503804
M101,23.2438,0.186466,0.11956
M101,22.0801,0.189506,0.10593
M101,22.5728,0.190543,0.0897504
M101,22.8394,0.191689,0.11529
M101,22.7815,0.192748,0.10117
M101,22.5075,0.19979,0.0934404
M101,22.2779,0.200611,0.10492
M101,22.371,0.206099,0.0887204
M101,22.8305,0.209113,0.0781104
M101,23.3549,0.219733,0.11111
M101,22.5801,0.227229,0.0930904
M101,23.0722,0.228051,0.12377
M101,22.8094,0.229742,0.0936304
M101,22.9252,0.231783,0.11802
M101,22.9146,0.235482,0.0966104
M101,22.916,0.237019,0.0886604
M101,22.4973,0.237622,0.0843404
M101,22.6343,0.237873,0.0837204
M101,22.7544,0.240325,0.10158
M101,22.8628,0.244448,0.0866204
M101,22.6315,0.244744,0.11281
M101,23.4274,0.247723,0.10598
M101,22.158,0.250827,0.14001
M101,22.3076,0.253062,0.10847
M101,22.376,0.253788,0.0922704
M101,22.4904,0.256753,0.10923
M101,22.1483,0.26694,0.10492
M101,22.0921,0.272467,0.10434
M101,21.6694,0.276067,0.0747504
M101,22.8734,0.27609,0.12434
M101,22.4703,0.279728,0.0739204
M101,22.5633,0.281071,0.10294
M101,22.3705,0.28293,0.1077
M101,22.2533,0.284285,0.0701404
M101,22.1186,0.285501,0.10413
M101,22.1913,0.287094,0.1174
M101,21.9047,0.288794,0.12969
M101,22.4214,0.291619,0.0836004
M101,21.943,0.297083,0.10752
M101,22.653,0.298329,0.0936104
M101,21.7955,0.298613,0.1217
M101,22.5276,0.298657,0.12726
M101,22.7232,0.304465,0.10549
M101,21.8591,0.310939,0.11631
M101,22.3257,0.314298,0.10224
M101,22.0048,0.316418,0.10554
M101,22.6127,0.31934,0.11093
M101,21.9161,0.325823,0.0483604
M101,22.0302,0.332291,0.0908404
M101,22.0307,0.334266,0.10196
M101,21.9698,0.356861,0.12649
M101,21.7109,0.36051,0.0993104
M101,22.3426,0.368551,0.11277
M101,21.5648,0.372637,0.12169
M101,22.2951,0.377795,0.13759
M101,21.9169,0.377849,0.1242
M101,22.2267,0.380531,0.13599
M101,22.5666,0.381776,0.12017
M101,21.8601,0.387912,0.10589
