PGC,Nest,Nmb,logpK,Mvir,Mlum
2,200275,7,10.41,18.6,27.5
5,200619,4,10.34,,88.1
12,210177,1,9.36,,2.34
14,200601,4,10.57,,154.0
16,211419,1,9.78,,0.977
18,200275,7,10.41,18.6,27.5
23,202425,2,10.12,,57.7
25,205376,1,9.84,,30.5
30,206399,1,9.93,,16.2
31,202464,2,9.85,,6.24
36,200619,4,10.34,,88.1
39,200601,4,10.47,,154.0
40,209793,1,9.84,,2.97
45,208497,1,9.49,,5.61
54,200314,6,10.55,76.7,95.4
58,200314,6,10.55,76.7,95.4
63,200314,6,10.55,76.7,95.4
64,200033,25,10.84,12800.0,8570.0
65,202464,2,9.76,,6.24
66,200033,25,10.84,12800.0,8570.0
70,209949,1,9.35,,2.74
73,209738,1,9.76,,3.05
75,200697,4,10.57,,211.0
76,209247,1,10.35,,3.98
77,202696,2,10.27,,115.0
80,207489,1,9.6,,9.04
81,209167,1,10.14,,4.19
82,200218,7,10.57,624.0,175.0
90,200697,4,10.58,,211.0
91,202696,2,10.27,,115.0
95,205561,1,9.76,,26.1
96,204117,1,10.06,,118.0
99,207903,1,9.62,,7.51
100,200611,4,10.12,,34.9
101,202049,2,9.87,,11.5
102,210310,1,9.71,,2.22
109,200786,4,10.21,,8.8
112,200786,4,10.21,,8.8
114,200033,25,10.75,12800.0,8570.0
116,207515,1,9.62,,9.04
117,207765,1,9.6,,7.92
120,202766,2,9.83,,7.31
123,205549,1,9.87,,26.8
127,204357,1,10.12,,81.4
129,202766,2,9.83,,7.31
130,200664,4,10.52,,38.8
140,200611,4,10.12,,34.9
142,201987,2,10.21,,190.0
147,201183,3,9.85,,11.2
148,204764,1,9.87,,51.9
149,207243,1,9.6,,10.3
151,208215,1,9.69,,6.4
152,200664,4,10.36,,38.8
158,203329,1,10.11,,695.0
160,200697,4,10.58,,211.0
163,202049,2,9.87,,11.5
164,202410,2,9.84,,13.1
168,201645,2,9.74,,10.9
172,200664,4,10.36,,38.8
176,201890,2,9.75,,4.79
177,209543,1,9.36,,3.39
179,211101,1,9.2,,1.31
186,208101,1,9.8,,6.75
191,209831,1,9.53,,2.89
192,201890,2,9.75,,4.79
195,209214,1,10.01,,4.08
201,202410,2,9.84,,13.1
204,206337,1,10.11,,16.6
205,207476,1,9.85,,9.28
206,200786,4,10.21,,8.8
207,201183,3,9.86,,11.2
211,200218,7,10.57,624.0,175.0
212,205137,1,9.99,,36.8
213,200033,25,10.76,12800.0,8570.0
216,201645,2,9.74,,10.9
218,211714,1,8.98,,0.693
224,200108,11,10.72,169.0,268.0
226,200076,13,10.81,205.0,519.0
233,200108,11,10.72,169.0,268.0
240,200542,5,10.18,0.375,28.2
243,206312,1,9.83,,17.1
246,201376,3,9.99,,17.5
250,208532,1,9.53,,5.61
252,200076,13,10.81,205.0,519.0
258,200932,3,10.12,,60.8
261,200308,6,10.71,218.0,431.0
262,208331,1,9.46,,6.07
263,208248,1,10.08,,6.24
270,200308,6,10.71,218.0,431.0
277,201376,3,9.99,,17.5
279,202396,2,9.43,,2.89
280,207374,1,10.53,,9.53
287,208099,1,9.48,,6.75
288,201263,3,10.1,,21.1
292,205875,1,9.73,,21.7
293,209619,1,9.39,,3.22
294,202563,2,10.24,,38.8
296,201376,3,9.99,,17.5
303,200786,4,10.21,,8.8
304,200275,7,10.45,18.6,27.5
306,202409,2,10.39,,25.4
307,211271,1,9.17,,1.15
312,211164,1,9.13,,1.24
313,202409,2,10.44,,25.4
319,200654,4,10.41,,106.0
320,202563,2,10.24,,38.8
322,200941,3,10.11,,27.5
323,200542,5,10.18,0.375,28.2
325,207047,1,9.62,,11.5
326,205517,1,9.96,,27.5
328,210000,1,9.78,,2.6
331,200218,7,10.57,624.0,175.0
337,208543,1,9.61,,5.61
344,201183,3,9.86,,11.2
348,200941,3,10.11,,27.5
350,201207,3,10.12,,29.0
353,201352,3,9.89,,7.92
354,201263,3,10.1,,21.1
356,209259,1,9.41,,3.98
358,200108,11,10.72,169.0,268.0
362,200108,11,10.76,169.0,268.0
364,207885,1,9.71,,7.51
366,201263,3,10.1,,21.1
367,207240,1,9.72,,10.3
368,202724,2,9.96,,26.8
378,201352,3,9.96,,7.92
380,200700,4,10.3,,10.6
381,202724,2,9.96,,26.8
382,200108,11,10.76,169.0,268.0
383,200108,11,10.61,169.0,268.0
386,200941,3,10.11,,27.5
392,208044,1,9.58,,6.93
393,206241,1,9.81,,17.5
399,200218,7,10.53,624.0,175.0
404,206599,1,10.23,,14.2
405,210220,1,9.3,,2.28
408,203281,1,,,859.0
415,200542,5,10.18,0.375,28.2
420,200108,11,10.76,169.0,268.0
424,211136,1,9.76,,1.27
426,210246,1,9.82,,2.28
435,201207,3,10.12,,29.0
437,201207,3,10.12,,29.0
449,200409,5,10.48,276.0,109.0
456,200108,11,10.76,169.0,268.0
457,200409,5,10.45,276.0,109.0
461,210973,1,9.12,,1.42
462,208518,1,9.51,,5.61
465,200076,13,10.68,205.0,519.0
468,200409,5,10.46,276.0,109.0
473,202165,2,9.94,,17.1
474,212126,1,9.27,,0.247
483,202932,2,9.76,,5.05
485,207036,1,9.93,,11.5
487,200218,7,10.55,624.0,175.0
488,202932,2,9.76,,5.05
490,204838,1,9.9,,49.2
491,209541,1,9.84,,3.39
493,200108,11,10.76,169.0,268.0
505,200076,13,10.79,205.0,519.0
507,208894,1,10.01,,4.66
511,201352,3,9.96,,7.92
515,210067,1,9.83,,2.53
516,200076,13,10.79,205.0,519.0
525,200076,13,10.79,205.0,519.0
526,200108,11,10.76,169.0,268.0
537,200108,11,10.72,169.0,268.0
546,202496,2,10.25,,142.0
551,201644,2,10.3,,166.0
558,206785,1,9.7,,13.1
564,209616,1,9.86,,3.3
565,210765,1,9.52,,1.66
567,200542,5,10.18,0.375,28.2
569,200373,6,10.29,7.12,25.4
571,200389,5,10.76,5460.0,3410.0
574,200700,4,10.45,,10.6
575,200700,4,10.45,,10.6
576,201251,3,10.04,,22.2
584,205842,1,10.39,,22.2
595,210582,1,9.46,,1.84
601,210966,1,9.37,,1.45
602,202165,2,9.91,,17.1
603,206423,1,10.19,,16.2
604,205142,1,9.8,,36.8
608,200373,6,10.29,7.12,25.4
613,202903,2,9.66,,6.58
616,200076,13,10.62,205.0,519.0
617,209085,1,9.84,,4.3
