galaxy,claimed_w50,resolved,pgc,coord_ra,coord_dec,n_hipass,best_hipass_name,best_hipass_id,best_hipass_w50max,best_hipass_w20max,best_hipass_vhel,best_hipass_fhi,delta_w50,match_within_20
NGC 1448,270.0,True,13727,56.13291666666666,-44.64388888888889,1,HIPASSJ0344-44,J0344-44,394.29998779296875,420.29998779296875,,,124.29998779296875,False
NGC 1559,206.0,True,14814,64.40541666666665,-62.78444444444444,1,HIPASSJ0417-62,J0417-62,246.1999969482422,298.3999938964844,,,40.19999694824219,False
NGC 2525,234.0,True,22721,121.40833333333333,-11.428055555555554,1,HIPASSJ0805-11,J0805-11,227.0,249.1999969482422,,,7.0,True
NGC 3447,157.0,True,32694,163.35041666666666,16.771944444444443,0,,,,,,,,False
NGC 3972,223.0,True,37466,178.93791666666664,55.32027777777778,0,,,,,,,,False
NGC 4424,186.0,True,40809,186.79874999999996,9.420833333333333,0,,,,,,,,False
NGC 7250,149.0,True,214816,334.56999999999994,40.56916666666667,0,,,,,,,,False
NGC 0976,314.0,True,9776,38.49999999999999,20.97694444444444,0,,,,,,,,False
NGC 976,314.0,True,9776,38.49999999999999,20.97694444444444,0,,,,,,,,False
NGC 105,243.0,True,212515,6.3175,12.895277777777777,0,,,,,,,,False
NGC 1337,268.0,True,12916,52.02416666666666,-8.388333333333334,1,HIPASSJ0328-08,J0328-08,254.1999969482422,276.29998779296875,,,13.800003051757812,True
NGC 4038,306.0,True,37967,180.47,-18.865000000000002,1,HIPASSJ1201-18,J1201-18,134.8000030517578,275.29998779296875,,,171.1999969482422,False
UGC 9391,194.0,True,52091,218.65374999999995,59.338055555555556,0,,,,,,,,False
M 101,80.0,True,50063,210.80166666666665,54.34805555555556,0,,,,,,,,False
