galaxy,claimed_w50,hipass_found,hipass_simbad_name,hipass_hipass,hipass_w50max,hipass_w50min,hipass_w20max,hipass_w20min,hipass_vhel,hipass_fhi,delta_w50max,match_within_20
NGC 1448,270.0,False,,,,,,,,,,False
NGC 1559,206.0,False,,,,,,,,,,False
NGC 2525,234.0,False,,,,,,,,,,False
NGC 3447,157.0,False,,,,,,,,,,False
NGC 3972,223.0,False,,,,,,,,,,False
NGC 4424,186.0,False,,,,,,,,,,False
NGC 7250,149.0,False,,,,,,,,,,False
NGC 0976,314.0,False,,,,,,,,,,False
NGC 976,314.0,False,,,,,,,,,,False
NGC 105,243.0,False,,,,,,,,,,False
NGC 1337,268.0,False,,,,,,,,,,False
NGC 4038,306.0,False,,,,,,,,,,False
UGC 9391,194.0,False,,,,,,,,,,False
M 101,80.0,False,,,,,,,,,,False
