parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,velocity,distance_mpc,h0_derived,rho_local,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster,mu_corrected,dist_corrected,h0_corrected
mu_N0691,32.822200385691815,0.0876811481466406,N0691,NGC 0691,27.673786536389997,21.759970445709996,6793,10.827,0.00855,0.00084,0.00861,2e-05,0.00954,2e-05,15.8947,250.0,2005W,56.21610210131819,107.5,101.3752795154129,104.02104949951172,52.01052474975586,101.3752795154129,-6.124720484587101,2563.2255159,36.68090795542163,69.87900951129924,0.0457196294563135,6793,200365.0,7.0,10.04,4.31,15.8,True,True,32.89725204366984,37.97085782908716,67.50507263853463
mu_N1015,32.617748081806354,0.060076741756443,N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988,9.906,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,-43.0674,250.0,2009ig,22.619141847191347,106.5,101.5484288080592,78.90803527832031,39.45401763916016,101.5484288080592,-4.951571191940786,2443.308532699999,33.38486438240733,73.18611526208682,0.0166638016520309,9988,211363.0,1.0,9.5,,1.03,False,False,32.69322951620095,34.56574352879866,70.68583757396514
mu_N105A,34.49337496345146,0.1193578058476688,N105A,NGC 105,6.31979949466,12.88386496266,1583,10.123,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,-104.478,250.0,2007A,10.658738312317682,56.70588235294118,55.94376801304348,33.66054916381836,16.83027458190918,55.94376801304348,-0.7621143398976997,5042.509143560001,79.19084784331912,63.67540291444687,0.0265092876404348,1583,210125.0,1.0,9.6,,2.47,False,False,34.41871227372823,76.51427275090232,65.902856581755
mu_N1309,32.50896360923545,0.0506780279748096,N1309,NGC 1309,50.52731207393,-15.39994213692,12626,9.89,0.00719,0.00085,0.00668,0.00015,0.00719,0.00015,-152.591,250.0,2002fk,12.667845748592352,82.0,78.76575664889279,65.63285827636719,32.816429138183594,78.76575664889279,-3.23424335110721,2155.50777302,31.753581879949163,67.8823504437809,0.0324372858092643,12626,211466.0,1.0,9.37,,0.927,False,False,32.520463233435855,31.922187685423175,67.52381115797658
mu_N1365,31.325415435304393,0.0500632419879221,N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179,10.732,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,-67.5086,250.0,2012fr,49.12435147913568,151.39999389648438,136.222692185725,336.6054992675781,168.30274963378906,136.222692185725,-15.177301710759366,1447.99757214,18.411242025051916,78.64746822456247,0.0085738078236374,13179,200015.0,49.0,10.75,80.5,106.0,True,True,31.47487614482456,19.723102374268137,73.41631882563966
mu_N1559,31.460782722043717,0.0516333818314369,N1559,NGC 1559,64.3989619176,-62.78368099094,14814,9.552,0.00407,0.00084,0.00435,1e-05,0.00435,1e-05,86.1777,250.0,2005df_ANU,53.734349345457694,72.62999725341797,68.49196532808296,104.02104949951172,52.01052474975586,68.49196532808296,-4.138031925335014,1220.15530406,19.595508797024976,62.26708970400636,0.0159203752527205,14814,211346.0,1.0,10.29,,1.06,False,False,31.437084722988786,19.382819193400987,62.95035267498188
mu_N2442,31.4652294026005,0.0546366996015776,N2442,NGC 2442,114.09904189399002,-69.53083273787,21373,12.198,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,80.5777,250.0,2015F,97.30833663299931,144.1558096642322,133.46142202191885,164.86227416992188,82.43113708496094,133.46142202191885,-10.69438764231336,1462.98719504,19.635677046362204,74.5065826651004,1.7590781179647057,21373,200281.0,7.0,9.98,2.93,11.2,True,True,31.60953280189688,20.984883396647458,69.71624132415845
mu_N2525,32.011384501587315,0.0606591197975918,N2525,NGC 2525,121.40849930031004,-11.427045532359998,22721,10.06,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,-18.777,250.0,2018gv,64.37758304478365,86.51095659398678,82.18540746649323,86.52095031738281,43.260475158691406,82.18540746649323,-4.325549127493545,1804.75059716,25.25090222890662,71.4727173231048,0.0416478017173689,22721,102238.0,2.0,9.39,,2.15,True,False,32.03358717556895,25.51040979578122,70.74565291610722
mu_N2608,32.62780095307231,0.1148434167441643,N2608,NGC 2608,128.82220753716,28.473398979510005,24111,10.449,0.00855,0.00084,0.00796,1e-05,0.00719,1e-05,-174.166,250.0,2001bg,28.266810170067377,86.61143545918993,83.04219771981289,68.72603607177734,34.36301803588867,83.04219771981289,-3.569237739377044,2563.2255159,33.539778535405226,76.42344785294902,0.0868444697615996,24111,111917.0,1.0,9.47,,1.08,False,False,32.65261548976711,33.92525322086596,75.55508868902032
mu_N3021,32.3915782508941,0.0966189000632787,N3021,NGC 3021,147.73810673169,33.55359289002,28357,10.296,0.00673,0.00084,0.00592,6e-05,0.00504,6e-05,-242.468,250.0,1995al,15.732375475256362,57.29999923706055,55.75428035953865,47.54679870605469,23.773399353027344,55.75428035953865,-1.5457188775218995,2017.60324234,30.082619473228053,67.06873529200342,0.2555499685522192,28357,102672.0,2.0,9.77,,1.2,True,False,32.31606110401164,29.054420706577243,69.44221200332731
mu_N3147,33.09079245164219,0.0854830197759541,N3147,NGC 3147,154.22349524198,73.40073383283999,30019,8.37261,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,-255.903,250.0,2008fv_comb,37.29665495870542,219.8000030517578,206.32473309766192,116.71355438232422,58.35677719116211,206.32473309766192,-13.475269954095891,3234.7606218199994,41.510550254688795,77.92622844007276,7.84435555279967e-05,30019,100715.0,4.0,10.26,,18.6,True,False,33.34480709514108,46.66179260166873,69.32353948408569
mu_N3254,32.40309755164512,0.056427656454706,N3254,NGC 3254,157.33300833333334,29.491438888888887,30895,10.63,0.00648,0.00084,0.0055,0.0,0.00452,0.0,-289.936,250.0,2019np,74.5115135659872,117.8000030517578,109.46339140154012,150.35618591308594,75.17809295654297,109.46339140154012,-8.336611650217677,1942.6551278399995,30.242626807911726,64.2356611473903,0.0171618536686042,30895,100784.0,4.0,9.91,,4.6,True,False,32.49748066707767,31.586109267437784,61.5034637976982
mu_N3370,32.14249679432599,0.0456347313322023,N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,1994ae,31.314751246021032,94.5999984741211,89.53951311106145,94.86833190917967,47.43416595458984,89.53951311106145,-5.060485363059641,1762.77965304,26.82250647886284,65.72016878546148,0.0360516177152754,32207,112647.0,1.0,9.77,,0.399,False,False,32.18628271575659,27.36884960876897,64.40824799867387
mu_N3447,31.94428893094241,0.0333315910022108,N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,2012ht,22.03175875380119,67.77873663823307,63.74073505607704,111.46057891845705,55.73028945922851,63.74073505607704,-4.038001582156028,1394.0349296999998,24.48261404350862,56.939791119634044,0.0063073856407183,32694,,,,,,False,False,31.902485505562183,24.01580237439517,58.04656900351046
mu_N3583,32.78990127849141,0.0634223058066292,N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,ASASSN-15so,1.3098966680831907,131.6999969482422,125.23028306008828,84.55149841308594,42.27574920654297,125.23028306008828,-6.469713888153919,2569.2213650599997,36.13934322600794,71.09208789414416,0.1181631158042074,34232,102455.0,2.0,9.66,,4.24,True,False,32.91817301389823,38.33845460296756,67.01421305753756
mu_N4038,31.633833407662905,0.0800615212766845,N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,2007sr,378.7708452742237,107.39049067798273,99.6068999195483,157.4422607421875,78.72113037109375,99.6068999195483,-7.783590758434428,1711.8149351799998,21.22104085787443,80.66592711661461,0.0487666171640131,37967,,,,,,False,False,31.704453229496924,21.922528628868097,78.08473940938738
mu_N4639,31.787385007269208,0.0713565283748475,N4639,NGC 4639,190.71824375014,13.257418376,42741,9.802,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,308.577,250.0,1990N,62.30683330267207,96.0,91.36814985353718,82.62686920166016,41.31343460083008,91.36814985353718,-4.631850146462824,1076.2549242199998,22.775976259542965,47.253953549809175,0.0359742485255102,42741,150002.0,2.0,11.2,,0.777,True,False,31.836262359129982,23.294450587312515,46.20220254545044
